Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
ITDC,EQ,2017-05-15,611.35,616.80,663.20,602.40,648.10,650.15,645.77,217237,140286090.10,8827,37494,17.26,2017,5,0,Slight
ITDC,EQ,2017-05-16,650.15,654,655.95,633.05,639,636.70,642.75,55988,35986166.40,2853,17726,31.66,2017,5,-2.07,Negative
ITDC,EQ,2017-05-17,636.70,638.10,642.90,624,624,626.75,633.59,23787,15071122.75,980,9924,41.72,2017,5,-1.56,Negative
ITDC,EQ,2017-05-18,626.75,621.80,624,601.50,604,604.65,614.44,37216,22866933.30,1498,16716,44.92,2017,5,-3.53,Among top losers
ITDC,EQ,2017-05-19,604.65,610.05,618,590.90,591,594.30,605.41,43801,26517497.35,2121,17563,40.10,2017,5,-1.71,Negative
ITDC,EQ,2017-05-22,594.30,588.10,603,559.85,576.90,574.65,580.43,44113,25604656.50,1934,18646,42.27,2017,5,-3.31,Among top losers
ITDC,EQ,2017-05-23,574.65,581.35,581.35,541,553.35,553.80,555.66,41536,23079950.80,2105,13365,32.18,2017,5,-3.63,Among top losers
ITDC,EQ,2017-05-24,553.80,560.95,561,504.05,511.05,516.15,530.21,58400,30964223.75,2741,24353,41.70,2017,5,-6.80,Among top losers
ITDC,EQ,2017-05-25,516.15,504,527.30,497,507.10,508.15,510.71,61922,31624393.50,2349,25573,41.30,2017,5,-1.55,Negative
ITDC,EQ,2017-05-26,508.15,508,517,498,512,511.05,510.33,30179,15401160,1226,11628,38.53,2017,5,0.57,Slight positive
ITDC,EQ,2017-05-29,511.05,515.70,539.50,508,510.10,511.85,523.35,33406,17483044.85,1502,11289,33.79,2017,5,0.16,Slight
ITDC,EQ,2017-05-30,511.85,512.05,512.05,501,501.05,504.70,505.66,21330,10785690.55,1020,9766,45.79,2017,5,-1.40,Negative
ITDC,EQ,2017-05-31,504.70,487,537.40,487,523,520.65,523.64,120804,63257431.75,4929,25238,20.89,2017,5,3.16,Among top gainers
ITDC,EQ,2017-06-01,520.65,523.25,533.80,513.75,520.40,519.15,523.23,36433,19062768.45,1437,13302,36.51,2017,6,-0.29,Slight
ITDC,EQ,2017-06-02,519.15,519,525,489,496,498.40,503.87,53199,26805287.50,1901,23562,44.29,2017,6,-4.00,Among top losers
ITDC,EQ,2017-06-05,498.40,491,548.20,491,542,539.10,536.34,262721,140909080.75,8680,47209,17.97,2017,6,8.17,Bull run
ITDC,EQ,2017-06-06,539.10,544.50,555,536,539,539.20,544.44,76206,41489847.55,2980,24041,31.55,2017,6,0.02,Slight
