Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
JETAIRWAYS,EQ,2017-05-15,519.45,520,533.40,517.10,527.80,527.50,526.08,1837033,966429811.40,25433,430754,23.45,2017,5,0,Slight
JETAIRWAYS,EQ,2017-05-16,527.50,527,536.50,524.65,534,534.15,531.79,1382182,735036275.45,23991,284837,20.61,2017,5,1.26,Positive
JETAIRWAYS,EQ,2017-05-17,534.15,532,534.75,526.20,530,528.90,529.75,690466,365774206,10219,53551,7.76,2017,5,-0.98,Slight negative
JETAIRWAYS,EQ,2017-05-18,528.90,525.15,538.60,517.50,517.70,522.70,529.55,1701102,900810165.80,25651,309608,18.20,2017,5,-1.17,Negative
JETAIRWAYS,EQ,2017-05-19,522.70,525.60,532.90,517.45,521,520.40,524.69,1272799,667824672.75,20409,257037,20.19,2017,5,-0.44,Slight
JETAIRWAYS,EQ,2017-05-22,520.40,521.70,525.15,469,479.50,475.65,491.44,3217513,1581202627.25,46980,659957,20.51,2017,5,-8.60,Bear drop
JETAIRWAYS,EQ,2017-05-23,475.65,485,489,465.30,471.90,472.85,477.05,2924779,1395251624.60,38240,255332,8.73,2017,5,-0.59,Slight negative
JETAIRWAYS,EQ,2017-05-24,472.85,473.30,479.90,458,466,464.80,468.39,2343019,1097440973.45,37266,402723,17.19,2017,5,-1.70,Negative
JETAIRWAYS,EQ,2017-05-25,464.80,468.10,473.30,459.90,469.70,468.95,467.50,1917412,896385540.80,25019,435427,22.71,2017,5,0.89,Slight positive
JETAIRWAYS,EQ,2017-05-26,468.95,477.70,491.75,475.10,483.75,483.40,484.19,2668448,1292044525.35,29370,350943,13.15,2017,5,3.08,Among top gainers
JETAIRWAYS,EQ,2017-05-29,483.40,481.70,485.35,470,476.30,474.60,477.85,949984,453951592.60,12123,111663,11.75,2017,5,-1.82,Negative
JETAIRWAYS,EQ,2017-05-30,474.60,471,475.05,454.50,458,459.65,463,1804222,835362146.05,23946,259546,14.39,2017,5,-3.15,Among top losers
JETAIRWAYS,EQ,2017-05-31,459.65,439,482,438.25,478.65,477.90,466.81,8231445,3842523967.95,95239,490441,5.96,2017,5,3.97,Among top gainers
JETAIRWAYS,EQ,2017-06-01,477.90,481,487.50,467.55,485,484.50,477.04,2948808,1406713262.50,41770,433395,14.70,2017,6,1.38,Positive
JETAIRWAYS,EQ,2017-06-02,484.50,485,489.75,478.80,483.80,484.85,484.38,1484965,719287679.35,19135,127407,8.58,2017,6,0.07,Slight
JETAIRWAYS,EQ,2017-06-05,484.85,482,500.50,479,499.85,497.15,490.69,2013452,987985368.70,25179,259591,12.89,2017,6,2.54,Positive
JETAIRWAYS,EQ,2017-06-06,497.15,502.50,508,493.20,497.70,497.20,500.25,2998048,1499783791.95,37769,239330,7.98,2017,6,0.01,Slight
JETAIRWAYS,EQ,2017-06-07,497.20,500.80,515.40,496,514.55,509.10,504.11,1886376,950943309.55,24059,376830,19.98,2017,6,2.39,Positive
JETAIRWAYS,EQ,2017-06-08,509.10,524,527,516,520,519.80,521.62,3777232,1970264565.70,46564,326511,8.64,2017,6,2.10,Positive
JETAIRWAYS,EQ,2017-06-09,519.80,520.90,530.50,514.55,528.70,527.95,523.30,2236841,1170539767.70,30138,285844,12.78,2017,6,1.57,Positive
JETAIRWAYS,EQ,2017-06-12,527.95,524,538.60,524,534.80,534.80,533.72,2316549,1236378972.35,38546,322264,13.91,2017,6,1.30,Positive
