Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
JKLAKSHMI,EQ,2017-05-15,504.30,504,519.40,504,511,510.80,512.21,65942,33775964.90,2066,34858,52.86,2017,5,0,Slight
JKLAKSHMI,EQ,2017-05-16,510.80,514.60,532.95,513,532,527.50,521.11,161032,83916057.45,4959,94000,58.37,2017,5,0.03,Slight
JKLAKSHMI,EQ,2017-05-17,527.50,530.90,536.95,513,513.90,516.20,523.78,95207,49867819.25,2878,57507,60.40,2017,5,-0.02,Slight
JKLAKSHMI,EQ,2017-05-18,516.20,491.70,504,472,484.55,478.95,482.76,493737,238354954.10,14686,243734,49.37,2017,5,-0.07,Slight
JKLAKSHMI,EQ,2017-05-19,478.95,481.80,488.85,465,469,469.55,483.69,334922,161996878.05,15246,248638,74.24,2017,5,-0.02,Slight
JKLAKSHMI,EQ,2017-05-22,469.55,477.05,477.80,465.60,475.90,475.75,473.27,89813,42505797.50,4030,57661,64.20,2017,5,0.01,Slight
JKLAKSHMI,EQ,2017-05-23,475.75,475,488.80,471.05,480.40,485.60,483.17,207823,100413983,5890,148141,71.28,2017,5,0.02,Slight
JKLAKSHMI,EQ,2017-05-24,485.60,485.90,491,473,478,481.90,485.30,171731,83340599.35,19884,100506,58.53,2017,5,-0.01,Slight
JKLAKSHMI,EQ,2017-05-25,481.90,480,483.80,467.55,482,478.05,473.46,61135,28944914.25,2598,32046,52.42,2017,5,-0.01,Slight
JKLAKSHMI,EQ,2017-05-26,478.05,479.50,486,473,481,481.15,479.95,59289,28455901.10,2027,43116,72.72,2017,5,0.01,Slight
JKLAKSHMI,EQ,2017-05-29,481.15,484.25,511,478.10,495,496.30,498.05,297128,147983393.55,9959,192069,64.64,2017,5,0.03,Slight
JKLAKSHMI,EQ,2017-05-30,496.30,495.90,500.80,482,493.05,495.40,496.04,91024,45151121.60,2538,60717,66.70,2017,5,-0.00,Slight
JKLAKSHMI,EQ,2017-05-31,495.40,495.40,500.85,488,488.50,489.50,492.16,92350,45451247.30,2987,64584,69.93,2017,5,-0.01,Slight
JKLAKSHMI,EQ,2017-06-01,489.50,484.50,494.90,484.50,485.05,485.90,489.49,23680,11591067.80,1818,13673,57.74,2017,6,-0.01,Slight
JKLAKSHMI,EQ,2017-06-02,485.90,486,496.45,485.10,490.50,488.85,489.62,59652,29206577.55,2202,44274,74.22,2017,6,0.01,Slight
JKLAKSHMI,EQ,2017-06-05,488.85,490,504.40,488.85,499.05,498.90,496.50,129970,64530465.80,3453,86437,66.51,2017,6,0.02,Slight
JKLAKSHMI,EQ,2017-06-06,498.90,492.10,498.90,485.20,491.40,490.20,490.81,173293,85053174.20,4931,102666,59.24,2017,6,-0.02,Slight
JKLAKSHMI,EQ,2017-06-07,490.20,492.65,493.95,484.20,487.60,487.25,487.22,48764,23758936.35,1745,28165,57.76,2017,6,-0.01,Slight
JKLAKSHMI,EQ,2017-06-08,487.25,486.55,489.40,479,482.50,483.10,482.71,87483,42228930.30,2212,43402,49.61,2017,6,-0.01,Slight
JKLAKSHMI,EQ,2017-06-09,483.10,487.85,487.85,478.50,480,480.40,481.40,50889,24497718.60,3047,30241,59.43,2017,6,-0.01,Slight
JKLAKSHMI,EQ,2017-06-12,480.40,480.40,483.80,466.60,468.50,473.80,477.92,36947,17657796.50,1908,25896,70.09,2017,6,-0.01,Slight
JKLAKSHMI,EQ,2017-06-13,473.80,471.80,476.70,463.90,475,472.10,468.02,114328,53507992.75,5252,85467,74.76,2017,6,-0.00,Slight
JKLAKSHMI,EQ,2017-06-14,472.10,469.35,486,469.35,486,482.30,479.22,44130,21147818.25,2433,20237,45.86,2017,6,0.02,Slight
JKLAKSHMI,EQ,2017-06-15,482.30,482,486.80,475,480,478.20,480.80,25430,12226723.75,1047,15726,61.84,2017,6,-0.01,Slight
JKLAKSHMI,EQ,2017-06-16,478.20,476.75,502.95,476.75,494.80,496.95,495.56,173854,86155049.70,3746,139140,80.03,2017,6,0.04,Slight
JKLAKSHMI,EQ,2017-06-19,496.95,507,508.65,493.90,495,495.25,499.95,63885,31939035.20,2232,38210,59.81,2017,6,-0.00,Slight
JKLAKSHMI,EQ,2017-06-20,495.25,499.50,499.50,480.55,483,484.40,488.88,35115,17167015.45,1196,19643,55.94,2017,6,-0.02,Slight
JKLAKSHMI,EQ,2017-06-21,484.40,481,496.45,475.20,493,494.85,491.23,112138,55085419.10,3229,69765,62.21,2017,6,0.02,Slight
JKLAKSHMI,EQ,2017-06-22,494.85,495.75,499.35,487,487.75,488.90,491.30,50737,24927172.65,2059,25055,49.38,2017,6,-0.01,Slight
JKLAKSHMI,EQ,2017-06-23,488.90,490,495.75,480,489.50,489.60,489.39,52664,25773328.40,2011,30790,58.46,2017,6,0.00,Slight
JKLAKSHMI,EQ,2017-06-27,489.60,486.60,495.05,484.05,495,493.30,490.31,51831,25413180.75,1620,38270,73.84,2017,6,0.01,Slight
JKLAKSHMI,EQ,2017-06-28,493.30,493.80,494.70,481.50,483,484,486.75,26726,13008870.95,3383,16410,61.40,2017,6,-0.02,Slight
JKLAKSHMI,EQ,2017-06-29,484,482.25,489.45,479.95,485.50,482.95,484.77,40889,19821947.20,1952,26275,64.26,2017,6,-0.00,Slight
JKLAKSHMI,EQ,2017-06-30,482.95,482.95,492.10,472,485,484.90,483.07,70767,34185673.35,5131,42785,60.46,2017,6,0.00,Slight
JKLAKSHMI,EQ,2017-07-03,484.90,489.50,489.50,478,479.40,479.50,482.70,39393,19014918.15,1752,26852,68.16,2017,7,-0.01,Slight
JKLAKSHMI,EQ,2017-07-04,479.50,480.10,487,472.85,473.10,476.10,481.31,70453,33909673.75,3225,56324,79.95,2017,7,-0.01,Slight
JKLAKSHMI,EQ,2017-07-05,476.10,475.75,480,473.95,474.95,474.60,477.06,35367,16872342.45,1474,22114,62.53,2017,7,-0.00,Slight
JKLAKSHMI,EQ,2017-07-06,474.60,475,479,473.30,475,474.55,475.41,36018,17123197.35,1677,24104,66.92,2017,7,-0.00,Slight
JKLAKSHMI,EQ,2017-07-07,474.55,473,473.85,468.45,470,470.25,470.31,57403,26997278.60,3535,42212,73.54,2017,7,-0.01,Slight
JKLAKSHMI,EQ,2017-07-10,470.25,470,474.60,467.60,469.50,470.85,471.33,5604,2641331.15,307,2875,51.30,2017,7,0.00,Slight
