Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
LALPATHLAB,EQ,2017-05-15,891.15,895,914.15,881,912,900.60,889.35,257655,229145315.95,15451,174775,67.83,2017,5,0,Slight
LALPATHLAB,EQ,2017-05-16,900.60,910,925,895.05,909.40,910.95,914.57,104896,95934298.20,13001,75813,72.27,2017,5,1.15,Positive
LALPATHLAB,EQ,2017-05-17,910.95,913,925,909,912.05,911.70,917.19,72460,66459596.40,2802,53829,74.29,2017,5,0.08,Slight
LALPATHLAB,EQ,2017-05-18,911.70,908,919.35,903.05,906,909.75,914.12,37707,34468891.25,2731,24836,65.87,2017,5,-0.21,Slight
LALPATHLAB,EQ,2017-05-19,909.75,917,917,905.80,910,910.25,910.61,81082,73833750.25,4430,69926,86.24,2017,5,0.05,Slight
LALPATHLAB,EQ,2017-05-22,910.25,909,914,905,907.40,909.85,909.89,150085,136561314.40,3350,136057,90.65,2017,5,-0.04,Slight
LALPATHLAB,EQ,2017-05-23,909.85,913.95,913.95,875,890,886.90,899.58,201776,181513918.55,7913,167269,82.90,2017,5,-2.52,Negative
LALPATHLAB,EQ,2017-05-24,886.90,886.90,903.05,883.80,893,894.70,895.74,84241,75457719.60,4014,67593,80.24,2017,5,0.88,Slight positive
LALPATHLAB,EQ,2017-05-25,894.70,897.90,901,894.25,898.20,898.25,899.80,241232,217059869.70,4535,219442,90.97,2017,5,0.40,Slight
LALPATHLAB,EQ,2017-05-26,898.25,903.45,907.90,880,888,893.70,898.82,75168,67562251,7428,57741,76.82,2017,5,-0.51,Slight negative
LALPATHLAB,EQ,2017-05-29,893.70,878,905,878,904,900.25,899.96,49918,44924155.85,3191,37124,74.37,2017,5,0.73,Slight positive
LALPATHLAB,EQ,2017-05-30,900.25,904.80,916.30,893,899,901.20,902.58,32083,28957386.70,2375,23103,72.01,2017,5,0.11,Slight
LALPATHLAB,EQ,2017-05-31,901.20,903.55,915,895,895,904.15,904.82,274059,247974912.70,7203,250423,91.38,2017,5,0.33,Slight
LALPATHLAB,EQ,2017-06-01,904.15,916,919.80,897.10,898.25,900.60,904.02,108277,97884152.45,4930,71398,65.94,2017,6,-0.39,Slight
LALPATHLAB,EQ,2017-06-02,900.60,907.90,912,886.95,907,903.75,898.44,103386,92885800.85,11005,61235,59.23,2017,6,0.35,Slight
LALPATHLAB,EQ,2017-06-05,903.75,910.40,911.55,897,906.55,904.50,905.14,95555,86490438,5444,77489,81.09,2017,6,0.08,Slight
LALPATHLAB,EQ,2017-06-06,904.50,917,917,899.80,905.50,904.65,904.38,37640,34040841.05,4214,26259,69.76,2017,6,0.02,Slight
LALPATHLAB,EQ,2017-06-07,904.65,901.95,916.80,898.45,915,914.90,912.86,38911,35520410.90,2980,26762,68.78,2017,6,1.13,Positive
LALPATHLAB,EQ,2017-06-08,914.90,915,915.90,901,901,906.50,908.32,80868,73454304.85,4803,67631,83.63,2017,6,-0.92,Slight negative
LALPATHLAB,EQ,2017-06-09,906.50,910,913.55,891,898.55,898.95,898.91,77867,69995419.85,3301,55713,71.55,2017,6,-0.83,Slight negative
LALPATHLAB,EQ,2017-06-12,898.95,900,904.70,890,893.10,895.25,896.91,37067,33245860.85,4250,21632,58.36,2017,6,-0.41,Slight
LALPATHLAB,EQ,2017-06-13,895.25,902.95,912.25,895.10,905.20,907.15,909.20,40144,36498777.15,5721,26407,65.78,2017,6,1.33,Positive
LALPATHLAB,EQ,2017-06-14,907.15,908,912.40,897,902.50,899.35,902.42,39139,35319823.50,1713,29615,75.67,2017,6,-0.86,Slight negative
LALPATHLAB,EQ,2017-06-15,899.35,899,903.65,874,877,879.20,885.85,85093,75379958,4265,66135,77.72,2017,6,-2.24,Negative
