Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
LAXMIMACH,EQ,2017-05-15,4552.40,4619.95,4670,4550.05,4606,4614.05,4629.76,4275,19792243.95,1097,2447,57.24,2017,5,0,Slight
LAXMIMACH,EQ,2017-05-16,4614.05,4566.05,4650,4564.10,4582,4589.80,4612.18,4467,20602592.70,805,2961,66.29,2017,5,-0.01,Slight
LAXMIMACH,EQ,2017-05-17,4589.80,4500,4675.20,4500,4610,4637.25,4608.88,6320,29128119.85,1035,2876,45.51,2017,5,0.01,Slight
LAXMIMACH,EQ,2017-05-18,4637.25,4599.95,4624.80,4515.10,4515.10,4544.45,4567.74,4500,20554835.90,831,2776,61.69,2017,5,-0.02,Slight
LAXMIMACH,EQ,2017-05-19,4544.45,4586.90,4648,4490,4521,4522.70,4556.21,4190,19090528.50,990,1944,46.40,2017,5,-0.00,Slight
LAXMIMACH,EQ,2017-05-22,4522.70,4599,4599,4451.15,4451.15,4462.60,4506.94,2424,10924821.75,513,1730,71.37,2017,5,-0.01,Slight
LAXMIMACH,EQ,2017-05-23,4462.60,4493.10,4535,4316.50,4369.65,4371.45,4404.49,4562,20093272.80,1251,2088,45.77,2017,5,-0.02,Slight
LAXMIMACH,EQ,2017-05-24,4371.45,4388.05,4444,4351.10,4355,4360.35,4409.06,4432,19540953.20,960,3203,72.27,2017,5,-0.00,Slight
LAXMIMACH,EQ,2017-05-25,4360.35,4336.55,4416,4336.55,4402.25,4405.80,4390.88,2897,12720380.55,608,1900,65.59,2017,5,0.01,Slight
LAXMIMACH,EQ,2017-05-26,4405.80,4377.40,4588.95,4377.40,4500,4499.05,4502.75,5362,24143770.25,1355,3328,62.07,2017,5,0.02,Slight
LAXMIMACH,EQ,2017-05-29,4499.05,4476.85,4525.15,4465,4506,4497.10,4492.95,2381,10697707.45,779,1361,57.16,2017,5,-0.00,Slight
LAXMIMACH,EQ,2017-05-30,4497.10,4483.90,4698,4455,4648,4629.65,4613.15,18428,85011082.80,1690,15983,86.73,2017,5,0.03,Slight
LAXMIMACH,EQ,2017-05-31,4629.65,4655.05,4658,4610,4610.35,4624.70,4632.02,4394,20353094,1341,2837,64.57,2017,5,-0.00,Slight
