Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
LEMONTREE,EQ,2018-04-09,56,61.60,73.90,57.25,72.30,71.65,65.59,67619635,4434900466.70,263630,13918070,20.58,2018,4,0,Slight
LEMONTREE,EQ,2018-04-10,71.65,69.85,71.50,65.40,66.50,66.85,68.42,15217104,1041159166.20,87183,3186294,20.94,2018,4,-6.70,Among top losers
LEMONTREE,EQ,2018-04-11,66.85,67.25,69.70,66.05,66.95,66.95,67.69,9094509,615621579.80,44895,2323539,25.55,2018,4,0.15,Slight
LEMONTREE,EQ,2018-04-12,66.95,67.10,67.70,65.10,66.50,66.40,66.44,2408408,160021982.75,14777,681080,28.28,2018,4,-0.82,Slight negative
LEMONTREE,EQ,2018-04-13,66.40,66.70,68.20,66.50,67.60,67.70,67.56,2406014,162540027.50,20955,994028,41.31,2018,4,1.96,Positive
LEMONTREE,EQ,2018-04-16,67.70,66.90,68.10,66,67.45,67.25,67.28,2128485,143204600.45,14187,1188805,55.85,2018,4,-0.66,Slight negative
LEMONTREE,EQ,2018-04-17,67.25,67.60,70.20,66.85,68.30,68.50,69.09,4825528,333377403.35,24391,1940412,40.21,2018,4,1.86,Positive
LEMONTREE,EQ,2018-04-18,68.50,69,71.70,65.90,68.20,68.05,69.81,6054807,422702405.20,29244,1818832,30.04,2018,4,-0.66,Slight negative
LEMONTREE,EQ,2018-04-19,68.05,69.20,72.70,68.50,72.65,71.85,70.89,3326199,235797551.35,15997,1246134,37.46,2018,4,5.58,Among top gainers
LEMONTREE,EQ,2018-04-20,71.85,72.50,85.50,72.10,82.35,83.70,79.74,18742753,1494568727.60,72952,2689086,14.35,2018,4,16.49,Bull run
LEMONTREE,EQ,2018-04-23,83.70,83,90.90,80.40,84.05,83.95,86.39,17221425,1487687521.15,103513,3391690,19.69,2018,4,0.30,Slight
LEMONTREE,EQ,2018-04-24,83.95,84.50,86.70,80.55,81.75,81.65,83.32,4452462,370969744.40,28711,1206266,27.09,2018,4,-2.74,Negative
LEMONTREE,EQ,2018-04-25,81.65,81.70,82,74.40,75.10,75.65,77.01,4514470,347638878.10,25186,1783643,39.51,2018,4,-7.35,Bear drop
LEMONTREE,EQ,2018-04-26,75.65,75.50,75.65,70.25,72.40,73.10,72.57,5474867,397330923.75,32843,1868477,34.13,2018,4,-3.37,Among top losers
LEMONTREE,EQ,2018-04-27,73.10,73,76.90,72.20,75.40,75.35,75.08,3916156,294032531.30,24179,821997,20.99,2018,4,3.08,Among top gainers
LEMONTREE,EQ,2018-04-30,75.35,75.50,76.90,73.80,75.75,75.55,75.53,1401796,105875774.80,9234,375394,26.78,2018,4,0.27,Slight
LEMONTREE,EQ,2018-05-02,75.55,75.80,80.80,75.20,78.50,78.40,78.35,3896698,305299189.25,26327,1209300,31.03,2018,5,3.77,Among top gainers
LEMONTREE,EQ,2018-05-03,78.40,80,80.40,76.50,79,79,78.53,2774372,217874877.85,22654,777277,28.02,2018,5,0.77,Slight positive
LEMONTREE,EQ,2018-05-04,79,78.65,79.55,76.60,76.80,77.20,78.15,1027937,80329013.25,9315,378430,36.81,2018,5,-2.28,Negative
