Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
LUXIND,EQ,2017-05-15,819.50,822,824.20,817.10,819,819.60,819.78,3182,2608550.05,149,2498,78.50,2017,5,0,Slight
LUXIND,EQ,2017-05-16,819.60,830,830,815,820,817.50,820.12,7161,5872873.95,328,6192,86.47,2017,5,-0.26,Slight
LUXIND,EQ,2017-05-17,817.50,810.05,822.70,807.80,821,819.80,817.77,5347,4372630.55,322,3914,73.20,2017,5,0.28,Slight
LUXIND,EQ,2017-05-18,819.80,815.20,835,815.20,818,820.05,824.05,5656,4660844.55,308,4032,71.29,2017,5,0.03,Slight
LUXIND,EQ,2017-05-19,820.05,833.85,835,811.25,817,817.80,819.67,5101,4181112.75,263,3856,75.59,2017,5,-0.27,Slight
LUXIND,EQ,2017-05-22,817.80,824.95,824.95,810.25,820,817.05,816.31,3114,2541990.15,170,2227,71.52,2017,5,-0.09,Slight
LUXIND,EQ,2017-05-23,817.05,823.80,830,770,829.95,807.30,792.86,27937,22150051.25,1311,16733,59.90,2017,5,-1.19,Negative
LUXIND,EQ,2017-05-24,807.30,806.60,812,787.20,790,792,797.80,8642,6894624.40,822,5501,63.65,2017,5,-1.90,Negative
LUXIND,EQ,2017-05-25,792,795.10,820,765,810,807.30,792.77,32330,25630249.55,2056,21791,67.40,2017,5,1.93,Positive
LUXIND,EQ,2017-05-26,807.30,820,828.95,800,810,811.45,814.39,43671,35565248.75,1944,20269,46.41,2017,5,0.51,Slight positive
LUXIND,EQ,2017-05-29,811.45,819.95,819.95,795.10,795.10,799.55,803.76,3544,2848540.65,471,2001,56.46,2017,5,-1.47,Negative
LUXIND,EQ,2017-05-30,799.55,800.05,800.05,790.35,790.35,792.85,793.07,2069,1640851.60,271,1027,49.64,2017,5,-0.84,Slight negative
LUXIND,EQ,2017-05-31,792.85,790.05,800,790.05,800,796.75,796.28,2073,1650697.50,193,1291,62.28,2017,5,0.49,Slight
LUXIND,EQ,2017-06-01,796.75,799.95,800,788.05,788.25,789.15,794.15,3489,2770779.85,231,2818,80.77,2017,6,-0.95,Slight negative
LUXIND,EQ,2017-06-02,789.15,795.05,834,791,815,817.50,820.70,69170,56768124.10,3697,22713,32.84,2017,6,3.59,Among top gainers
LUXIND,EQ,2017-06-05,817.50,828,849,827.90,829.50,834.65,838.12,27103,22715649.25,1563,12761,47.08,2017,6,2.10,Positive
LUXIND,EQ,2017-06-06,834.65,829.50,909,815,863,867.65,873.95,243523,212825897.60,11540,35941,14.76,2017,6,3.95,Among top gainers
LUXIND,EQ,2017-06-07,867.65,878.75,905,872,900,896.65,891.82,65488,58403557.40,2859,31258,47.73,2017,6,3.34,Among top gainers
LUXIND,EQ,2017-06-08,896.65,900,905,876,881,881.05,891.41,20068,17888886.05,1272,7094,35.35,2017,6,-1.74,Negative
LUXIND,EQ,2017-06-09,881.05,889.75,920,881.05,903.30,904.95,905,41686,37725865.65,2273,13814,33.14,2017,6,2.71,Positive
LUXIND,EQ,2017-06-12,904.95,899.80,943,882.30,938,923.90,917.99,68522,62902826.35,2459,37568,54.83,2017,6,2.09,Positive
LUXIND,EQ,2017-06-13,923.90,939.95,945,901,912,924.30,928.79,146891,136431255.60,3886,82938,56.46,2017,6,0.04,Slight
LUXIND,EQ,2017-06-14,924.30,929,1079.95,927,1050.50,1044.60,1020.76,1121584,1144871240.75,44658,222695,19.86,2017,6,13.02,Bull run
LUXIND,EQ,2017-06-15,1044.60,1044.60,1115,1040,1087,1085,1087.04,643703,699728242.05,26466,94062,14.61,2017,6,3.87,Among top gainers
LUXIND,EQ,2017-06-16,1085,1094.90,1111.95,1075,1089,1087.45,1087.96,129836,141255833.10,5527,38312,29.51,2017,6,0.23,Slight
LUXIND,EQ,2017-06-19,1087.45,1099.90,1118.40,1081.20,1085,1089.90,1099.38,122683,134875684.10,5337,24589,20.04,2017,6,0.23,Slight
LUXIND,EQ,2017-06-20,1089.90,1094.70,1105,1082.25,1085,1086.75,1091.32,46608,50864208.05,1947,15898,34.11,2017,6,-0.29,Slight
LUXIND,EQ,2017-06-21,1086.75,1088,1098.80,1072.10,1075.25,1081.10,1087.65,56239,61168119.65,2280,13944,24.79,2017,6,-0.52,Slight negative
LUXIND,EQ,2017-06-22,1081.10,1084.75,1094.40,1072.10,1075,1075.90,1082.45,32898,35610312.55,1798,16986,51.63,2017,6,-0.48,Slight
LUXIND,EQ,2017-06-23,1075.90,1070,1081.75,1003.60,1015,1014.65,1022.71,52072,53254461.75,2703,23979,46.05,2017,6,-5.69,Among top losers
LUXIND,EQ,2017-06-27,1014.65,1015.10,1060,1011.10,1024.95,1029.85,1028.79,70031,72047254.85,2808,40539,57.89,2017,6,1.50,Positive
LUXIND,EQ,2017-06-28,1029.85,1036,1042,1005.10,1015.90,1011.15,1020.03,12048,12289273.80,834,6192,51.39,2017,6,-1.82,Negative
LUXIND,EQ,2017-06-29,1011.15,1025,1040,1010,1012,1014.15,1024.85,18399,18856243.25,996,8453,45.94,2017,6,0.30,Slight
LUXIND,EQ,2017-06-30,1014.15,1014.95,1040,1004.05,1015,1012.40,1021.11,27547,28128518.55,1652,10053,36.49,2017,6,-0.17,Slight
LUXIND,EQ,2017-07-03,1012.40,1010,1028,1010,1010,1013.80,1017.24,15694,15964607.05,934,7789,49.63,2017,7,0.14,Slight
LUXIND,EQ,2017-07-04,1013.80,1023,1103,1020,1071.85,1079.60,1080.16,183662,198383573.80,7947,35926,19.56,2017,7,6.49,Among top gainers
LUXIND,EQ,2017-07-05,1079.60,1088,1100,1062.35,1070,1070.15,1086.64,55771,60602830.70,2714,16168,28.99,2017,7,-0.88,Slight negative
LUXIND,EQ,2017-07-06,1070.15,1074.70,1094.40,1056.75,1057.20,1060.50,1075.22,29284,31486849.60,1777,8079,27.59,2017,7,-0.90,Slight negative
LUXIND,EQ,2017-07-07,1060.50,1057,1098,1055,1089.85,1089.25,1084.01,58184,63072109.10,3098,20207,34.73,2017,7,2.71,Positive
LUXIND,EQ,2017-07-10,1089.25,1100,1115,1080.05,1099,1096.35,1096.59,6119,6710054.60,241,5322,86.97,2017,7,0.65,Slight positive
LUXIND,EQ,2017-07-11,1096.35,1095.20,1159.95,1095.20,1143,1140.40,1136.85,180162,204816528.80,8691,49048,27.22,2017,7,4.02,Among top gainers
LUXIND,EQ,2017-07-12,1140.40,1157,1234.70,1120,1185.95,1184.75,1185.09,408883,484561392.40,14833,140614,34.39,2017,7,3.89,Among top gainers
LUXIND,EQ,2017-07-13,1184.75,1195.95,1209,1161.05,1204,1199.65,1190.95,86386,102881325.15,4616,25610,29.65,2017,7,1.26,Positive
LUXIND,EQ,2017-07-14,1199.65,1205,1209.75,1173,1196.50,1197.45,1187.22,44552,52893103.05,2130,18637,41.83,2017,7,-0.18,Slight
LUXIND,EQ,2017-07-17,1197.45,1190,1209.80,1180,1180,1184.40,1192.15,35930,42833992.05,2309,8907,24.79,2017,7,-1.09,Negative
LUXIND,EQ,2017-07-18,1184.40,1184.80,1197,1161,1161,1162,1173.22,22548,26453735.10,1550,13284,58.91,2017,7,-1.89,Negative
LUXIND,EQ,2017-07-19,1162,1164,1194.65,1155,1158,1162.75,1175.66,30572,35942204.55,1621,12329,40.33,2017,7,0.06,Slight
LUXIND,EQ,2017-07-20,1162.75,1165,1177,1160,1160,1165.10,1167.24,12286,14340724.55,1027,2843,23.14,2017,7,0.20,Slight
LUXIND,EQ,2017-07-21,1165.10,1164.40,1191.90,1155,1164.95,1163.05,1173.66,32849,38553556.05,2038,7822,23.81,2017,7,-0.18,Slight
