Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
MINDAIND,EQ,2017-05-15,495.65,495.95,522,495.90,522,517.90,514.90,110264,56774826.35,3648,68819,62.41,2017,5,0,Slight
MINDAIND,EQ,2017-05-16,517.90,523.70,568,500.10,551,545.60,543.53,1185514,644366847.30,28000,220287,18.58,2017,5,5.35,Among top gainers
MINDAIND,EQ,2017-05-17,545.60,555,571,541.15,559,560.10,558.38,465042,259668618.65,14208,181463,39.02,2017,5,2.66,Positive
MINDAIND,EQ,2017-05-18,560.10,556.95,558,542.20,547,545.25,551.99,90333,49863139.20,3951,47989,53.12,2017,5,-2.65,Negative
MINDAIND,EQ,2017-05-19,545.25,549.70,588.80,547,560,560.80,568.56,371398,211163187.55,10466,184909,49.79,2017,5,2.85,Positive
MINDAIND,EQ,2017-05-22,560.80,563,576.40,560,565.05,564.05,567.88,138675,78750999.40,4642,67056,48.35,2017,5,0.58,Slight positive
MINDAIND,EQ,2017-05-23,564.05,569,569.90,535.80,551.10,552.90,549.15,106114,58272252.60,5351,54683,51.53,2017,5,-1.98,Negative
MINDAIND,EQ,2017-05-24,552.90,558.85,574,549.95,558.70,555.55,562.32,105480,59313137.20,5337,45363,43.01,2017,5,0.48,Slight
MINDAIND,EQ,2017-05-25,555.55,553.45,571,553.45,571,568.90,565.53,49019,27721802.15,2056,26919,54.92,2017,5,2.40,Positive
MINDAIND,EQ,2017-05-26,568.90,574.30,607,568.55,597,596.15,593.38,168413,99932532.45,8374,62260,36.97,2017,5,4.79,Among top gainers
MINDAIND,EQ,2017-05-29,596.15,601.45,618.80,595.10,611,607.20,607.32,126105,76585904.50,4735,56431,44.75,2017,5,1.85,Positive
MINDAIND,EQ,2017-05-30,607.20,608,617.90,598.30,607,605.05,607.61,75919,46128924.85,3020,29392,38.71,2017,5,-0.35,Slight
MINDAIND,EQ,2017-05-31,605.05,608,633.40,606.55,629.05,627.30,622.77,98244,61183587.50,4743,40720,41.45,2017,5,3.68,Among top gainers
MINDAIND,EQ,2017-06-01,627.30,630.05,641.35,625,626,625.90,632.15,87292,55181660.25,3180,49236,56.40,2017,6,-0.22,Slight
MINDAIND,EQ,2017-06-02,625.90,630,630,610,620.05,619.30,622.43,65991,41074471.90,2733,33677,51.03,2017,6,-1.05,Negative
MINDAIND,EQ,2017-06-05,619.30,624.40,632.80,620,627,627.75,628.49,52506,32999356.05,3399,31827,60.62,2017,6,1.36,Positive
MINDAIND,EQ,2017-06-06,627.75,627.70,630,615.55,623.10,628.70,627.35,37754,23684833.40,2704,22786,60.35,2017,6,0.15,Slight
MINDAIND,EQ,2017-06-07,628.70,628.60,630,619.95,624.95,623.85,626.13,24800,15528010.35,2293,17173,69.25,2017,6,-0.77,Slight negative
MINDAIND,EQ,2017-06-08,623.85,626.25,648.45,618.30,618.30,621.80,632.23,100318,63423767.35,5144,59997,59.81,2017,6,-0.33,Slight
MINDAIND,EQ,2017-06-09,621.80,624.95,629,621,626,623.70,625.69,44349,27748719.55,2205,27165,61.25,2017,6,0.31,Slight
MINDAIND,EQ,2017-06-12,623.70,617.05,623.90,593.55,600,597.85,602.30,167130,100663176.50,7564,109578,65.56,2017,6,-4.14,Among top losers
MINDAIND,EQ,2017-06-13,597.85,596,614,585.90,593,595.35,601.77,71121,42798559.40,5168,35392,49.76,2017,6,-0.42,Slight
MINDAIND,EQ,2017-06-14,595.35,595.40,606.40,594.05,596.50,596.40,599.97,44584,26749065.50,3946,29474,66.11,2017,6,0.18,Slight
MINDAIND,EQ,2017-06-15,596.40,596.50,601.20,593.10,596,596.30,596.53,52101,31079662.95,2868,40841,78.39,2017,6,-0.02,Slight
MINDAIND,EQ,2017-06-16,596.30,597.10,598.35,586.70,591,591.15,591.10,56927,33649733.35,2913,36038,63.31,2017,6,-0.86,Slight negative
MINDAIND,EQ,2017-06-19,591.15,592.40,608.90,592.40,607.40,606.65,601.49,115564,69511025.55,2358,88525,76.60,2017,6,2.62,Positive
MINDAIND,EQ,2017-06-20,606.65,609.85,612.50,600.90,607,607.15,608.19,37923,23064569.50,2267,18985,50.06,2017,6,0.08,Slight
MINDAIND,EQ,2017-06-21,607.15,610.10,610.10,595.10,598.60,598.40,602.98,26194,15794531.80,2015,18328,69.97,2017,6,-1.44,Negative
MINDAIND,EQ,2017-06-22,598.40,598.60,608,596.65,600,598.55,600.70,42213,25357223.85,2340,23717,56.18,2017,6,0.03,Slight
MINDAIND,EQ,2017-06-23,598.55,605,607.85,597.55,604,604.30,601.41,66166,39793094.10,5282,53321,80.59,2017,6,0.96,Slight positive
MINDAIND,EQ,2017-06-27,604.30,607,609,598,599,600.45,601.80,28422,17104381.40,1093,21778,76.62,2017,6,-0.64,Slight negative
MINDAIND,EQ,2017-06-28,600.45,600.05,608,598.55,602,604.05,602.82,25552,15403229.75,1996,20774,81.30,2017,6,0.60,Slight positive
MINDAIND,EQ,2017-06-29,604.05,608,631.15,607,628.80,628.25,622.97,89087,55498324.45,3341,58129,65.25,2017,6,4.01,Among top gainers
MINDAIND,EQ,2017-06-30,628.25,628.25,644.80,614.85,643.90,640.35,631.55,82339,52001214.65,5912,48439,58.83,2017,6,1.93,Positive
MINDAIND,EQ,2017-07-03,640.35,646.20,660.25,631.55,655,652.65,654.44,133001,87040625.10,3866,85101,63.99,2017,7,1.92,Positive
MINDAIND,EQ,2017-07-04,652.65,658.65,664.40,648,651,656.75,655.99,49092,32203722.20,2393,21934,44.68,2017,7,0.63,Slight positive
MINDAIND,EQ,2017-07-05,656.75,651.05,687.35,651.05,670,671.80,669.53,338451,226603130,6716,221471,65.44,2017,7,2.29,Positive
MINDAIND,EQ,2017-07-06,671.80,675.95,685,665,672,670.55,675.83,72103,48729196.20,3529,37727,52.32,2017,7,-0.19,Slight
MINDAIND,EQ,2017-07-07,670.55,673,677.95,650.40,672.75,670.70,668.41,47672,31864604.10,2527,24820,52.06,2017,7,0.02,Slight
MINDAIND,EQ,2017-07-10,670.70,672,675.50,655,672.05,672.45,672.37,8188,5505349.40,262,6396,78.11,2017,7,0.26,Slight
MINDAIND,EQ,2017-07-11,672.45,678.95,683.45,670.05,675.40,674.10,675.57,73258,49491056.55,4501,49472,67.53,2017,7,0.25,Slight
MINDAIND,EQ,2017-07-12,674.10,676.95,685,674,681,680.20,679.89,40066,27240622.90,2591,26092,65.12,2017,7,0.90,Slight positive
MINDAIND,EQ,2017-07-13,680.20,687,689,678,687,686.15,685.50,81173,55644446.75,2623,55153,67.95,2017,7,0.87,Slight positive
MINDAIND,EQ,2017-07-14,686.15,687,689,674,683.80,682.55,680.44,40505,27561197.45,1900,28956,71.49,2017,7,-0.52,Slight negative
MINDAIND,EQ,2017-07-17,682.55,689.50,691,677.95,683.10,684.45,685.72,42025,28817388.05,1995,27154,64.61,2017,7,0.28,Slight
MINDAIND,EQ,2017-07-18,684.45,685,687,658.15,670,667.90,674.51,58951,39762748.60,3014,36322,61.61,2017,7,-2.42,Negative
MINDAIND,EQ,2017-07-19,667.90,667.90,685,667.90,684,683.85,681.09,43362,29533548.70,1578,30465,70.26,2017,7,2.39,Positive
MINDAIND,EQ,2017-07-20,683.85,682,710,680,705.40,705.95,703.92,131388,92486824.55,4331,75199,57.23,2017,7,3.23,Among top gainers
MINDAIND,EQ,2017-07-21,705.95,710,749.75,710,746,742.65,732.40,235365,172381862,8044,85626,36.38,2017,7,5.20,Among top gainers
MINDAIND,EQ,2017-07-24,742.65,752.70,784.40,745,766,759.65,764.88,302324,231243029.15,10863,155432,51.41,2017,7,2.29,Positive
MINDAIND,EQ,2017-07-25,759.65,764.95,830,740,829.10,817.80,797.17,421455,335970477.50,11955,165229,39.20,2017,7,7.65,Bull run
MINDAIND,EQ,2017-07-26,817.80,832,845,763.40,777,776.70,806.06,551665,444677024.20,21595,205070,37.17,2017,7,-5.03,Among top losers
MINDAIND,EQ,2017-07-27,776.70,782,806,765,778,773.50,780.13,181573,141650340.40,9095,64238,35.38,2017,7,-0.41,Slight
MINDAIND,EQ,2017-07-28,773.50,771.50,790,755,782,785.50,777.63,90539,70405484.95,4452,36106,39.88,2017,7,1.55,Positive
MINDAIND,EQ,2017-07-31,785.50,785.50,806,782.40,792,791.50,790.85,124635,98567893.20,4504,75642,60.69,2017,7,0.76,Slight positive
MINDAIND,EQ,2017-08-01,791.50,797.95,797.95,776.50,779.15,780.55,785.58,56197,44146977.75,3511,33407,59.45,2017,8,-1.38,Negative
MINDAIND,EQ,2017-08-02,780.55,783,792,775.55,788,788.65,787.44,91590,72121395.40,3611,62674,68.43,2017,8,1.04,Positive
MINDAIND,EQ,2017-08-03,788.65,788,791.80,773,776.10,778.40,782.73,86882,68005159.15,3010,58484,67.31,2017,8,-1.30,Negative
MINDAIND,EQ,2017-08-04,778.40,778,778,769.20,770,770.75,772.74,35126,27143429.35,1853,20601,58.65,2017,8,-0.98,Slight negative
MINDAIND,EQ,2017-08-07,770.75,775,775,759,762,762,761.78,140815,107270615.35,3001,116651,82.84,2017,8,-1.14,Negative
MINDAIND,EQ,2017-08-08,762,753,778,753,775,774.60,764.30,68336,52229375.05,4016,40470,59.22,2017,8,1.65,Positive
MINDAIND,EQ,2017-08-09,774.60,774,786.70,762.50,773.30,776.35,775.58,443725,344145840.90,3300,382516,86.21,2017,8,0.23,Slight
MINDAIND,EQ,2017-08-10,776.35,765.20,803.90,735,765,757.25,777.24,133491,103754227.65,6939,75495,56.55,2017,8,-2.46,Negative
MINDAIND,EQ,2017-08-11,757.25,730,770.70,725,754.30,755.10,749.56,89060,66755906.55,4022,50643,56.86,2017,8,-0.28,Slight
MINDAIND,EQ,2017-08-14,755.10,758.55,789.90,758.55,786,782.15,774.41,72926,56474323.85,2578,53573,73.46,2017,8,3.58,Among top gainers
MINDAIND,EQ,2017-08-16,782.15,794.90,806.60,783.05,798,799.85,794.98,69519,55265967.05,3559,40286,57.95,2017,8,2.26,Positive
MINDAIND,EQ,2017-08-17,799.85,799.85,807.60,785,788,792.10,796.74,43350,34538695.55,2583,24087,55.56,2017,8,-0.97,Slight negative
MINDAIND,EQ,2017-08-18,792.10,786.75,787.10,770.55,781.20,780.05,779.67,180100,140417785.20,2969,158940,88.25,2017,8,-1.52,Negative
MINDAIND,EQ,2017-08-21,780.05,780.50,786,759,772.05,771.80,770.81,113138,87208081.90,4423,81107,71.69,2017,8,-1.06,Negative
MINDAIND,EQ,2017-08-22,771.80,773,780,769,773.50,773.40,773.12,49733,38449801,1054,40922,82.28,2017,8,0.21,Slight
MINDAIND,EQ,2017-08-23,773.40,784.50,784.50,770.75,779,778.15,775.49,62719,48637918.05,1897,47350,75.50,2017,8,0.61,Slight positive
MINDAIND,EQ,2017-08-24,778.15,787.35,787.35,777,779.80,778.80,781.30,15343,11987558.45,950,9548,62.23,2017,8,0.08,Slight
MINDAIND,EQ,2017-08-28,778.80,787,808,785,800,800.10,799.09,68443,54692147.55,5959,45841,66.98,2017,8,2.73,Positive
MINDAIND,EQ,2017-08-29,800.10,800,808,775,805,802.25,796.02,127771,101707737.50,5446,39185,30.67,2017,8,0.27,Slight
MINDAIND,EQ,2017-08-30,802.25,811,839,808.20,827.35,825,825.59,176839,145996761.70,7498,80665,45.61,2017,8,2.84,Positive
MINDAIND,EQ,2017-08-31,825,853,853,830,846,844.85,843.28,112679,95019665.45,5451,45776,40.63,2017,8,2.41,Positive
MINDAIND,EQ,2017-09-01,844.85,846,891,845.10,878,877.55,875.61,201207,176178201.60,7824,75716,37.63,2017,9,3.87,Among top gainers
MINDAIND,EQ,2017-09-04,877.55,882.60,894,868,872.50,877.65,879.58,117648,103481360.45,6993,67856,57.68,2017,9,0.01,Slight
