Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
PVR,EQ,2017-05-15,1526.20,1532.35,1538.15,1515.45,1520,1524.95,1526.51,103693,158288331.55,7359,54518,52.58,2017,5,0,Slight
PVR,EQ,2017-05-16,1524.95,1526.70,1545,1526.65,1533.25,1539,1538.04,86547,133112885.80,6332,39020,45.09,2017,5,0.92,Slight positive
PVR,EQ,2017-05-17,1539,1539.70,1552.85,1526.05,1527,1530.30,1538.01,73902,113662177.50,4665,21303,28.83,2017,5,-0.57,Slight negative
PVR,EQ,2017-05-18,1530.30,1525,1539.35,1502.20,1514.90,1515.05,1519.68,82125,124803466.60,2903,38796,47.24,2017,5,-1.00,Slight negative
PVR,EQ,2017-05-19,1515.05,1515,1534.50,1502.20,1517.65,1513.55,1513.25,114890,173856728.50,9495,54764,47.67,2017,5,-0.10,Slight
PVR,EQ,2017-05-22,1513.55,1498.45,1522,1397.05,1492,1481,1473.33,449726,662596699.10,29357,179657,39.95,2017,5,-2.15,Negative
PVR,EQ,2017-05-23,1481,1492,1515,1445.50,1497,1496.45,1476.70,318619,470503326.40,9260,179663,56.39,2017,5,1.04,Positive
PVR,EQ,2017-05-24,1496.45,1490,1530.05,1444.15,1452,1450,1484.30,107642,159772570.95,5923,33688,31.30,2017,5,-3.10,Among top losers
PVR,EQ,2017-05-25,1450,1450,1474.75,1439.05,1474.75,1461.15,1456.94,114328,166568939.30,3930,53461,46.76,2017,5,0.77,Slight positive
PVR,EQ,2017-05-26,1461.15,1463.10,1498,1451,1475,1471.50,1473.70,129323,190583763.05,7326,37335,28.87,2017,5,0.71,Slight positive
PVR,EQ,2017-05-29,1471.50,1460.05,1485.20,1460.05,1470.15,1472.85,1470.23,82565,121389935.60,2761,37285,45.16,2017,5,0.09,Slight
PVR,EQ,2017-05-30,1472.85,1470,1487.90,1425.05,1447.50,1447.90,1455.43,205277,298765989.55,9267,25865,12.60,2017,5,-1.69,Negative
PVR,EQ,2017-05-31,1447.90,1440.10,1518,1440.10,1449.05,1454.95,1477.74,225319,332962606.95,14074,77117,34.23,2017,5,0.49,Slight
PVR,EQ,2017-06-01,1454.95,1452,1469.70,1452,1455,1455.70,1459.95,59522,86899074.30,3090,23335,39.20,2017,6,0.05,Slight
PVR,EQ,2017-06-02,1455.70,1457.30,1466.90,1452.35,1460,1457.80,1462.45,55880,81721545.75,2865,29238,52.32,2017,6,0.14,Slight
PVR,EQ,2017-06-05,1457.80,1458.90,1464.65,1440,1444,1442.25,1452.10,102733,149178094.45,4617,51065,49.71,2017,6,-1.07,Negative
PVR,EQ,2017-06-06,1442.25,1445,1447.45,1378.85,1390,1392.85,1411.78,210916,297766684.65,16465,89785,42.57,2017,6,-3.43,Among top losers
PVR,EQ,2017-06-07,1392.85,1391.10,1409,1387,1400,1400.70,1400.17,165824,232182354.95,7911,70517,42.53,2017,6,0.56,Slight positive
PVR,EQ,2017-06-08,1400.70,1400.70,1498.50,1382.30,1461,1454,1465.71,596919,874912535.05,21846,142853,23.93,2017,6,3.81,Among top gainers
PVR,EQ,2017-06-09,1454,1465,1479.85,1443,1470,1472.25,1471.65,403598,593954013.45,18344,241292,59.79,2017,6,1.26,Positive
PVR,EQ,2017-06-12,1472.25,1477,1507,1470,1495,1488.95,1492.22,306349,457140136.25,17326,98821,32.26,2017,6,1.13,Positive
PVR,EQ,2017-06-13,1488.95,1490.55,1505,1474,1500,1496.30,1489.41,195198,290729706.20,8620,101610,52.05,2017,6,0.49,Slight
PVR,EQ,2017-06-14,1496.30,1505.50,1550,1490.60,1522,1522.50,1516.74,221887,336544508.35,10671,76207,34.34,2017,6,1.75,Positive
PVR,EQ,2017-06-15,1522.50,1525,1537.20,1515,1522,1523.50,1524.31,108982,166122862.90,5764,36017,33.05,2017,6,0.07,Slight
PVR,EQ,2017-06-16,1523.50,1521.25,1575,1521.25,1569.25,1564.15,1554.11,253525,394006172.25,9899,122687,48.39,2017,6,2.67,Positive
PVR,EQ,2017-06-19,1564.15,1570,1589.95,1545,1563.10,1569.90,1567.24,192244,301291606.95,11220,63040,32.79,2017,6,0.37,Slight
PVR,EQ,2017-06-20,1569.90,1574,1589.35,1560.60,1576.95,1570.30,1571.39,113049,177643618.90,11747,46220,40.88,2017,6,0.03,Slight
PVR,EQ,2017-06-21,1570.30,1574.75,1601,1571,1581,1581.40,1587.72,281799,447419037.95,13220,107563,38.17,2017,6,0.71,Slight positive
PVR,EQ,2017-06-22,1581.40,1583,1593.75,1557.10,1564.90,1563.95,1577.11,84496,133259841.75,6312,33500,39.65,2017,6,-1.10,Negative
PVR,EQ,2017-06-23,1563.95,1573.85,1576.85,1500.55,1502.20,1508,1536,249486,383210185.25,11393,111611,44.74,2017,6,-3.58,Among top losers
PVR,EQ,2017-06-27,1508,1509,1509,1445,1459.95,1450.35,1458.02,192943,281315062.40,10464,88049,45.63,2017,6,-3.82,Among top losers
PVR,EQ,2017-06-28,1450.35,1451.35,1458.95,1393.35,1410.85,1405.35,1420,238384,338504377.45,13282,116220,48.75,2017,6,-3.10,Among top losers
PVR,EQ,2017-06-29,1405.35,1406.10,1449.90,1406.10,1420,1417.60,1429.14,200303,286260827.25,9625,61637,30.77,2017,6,0.87,Slight positive
PVR,EQ,2017-06-30,1417.60,1420,1430,1383.40,1408,1408.55,1401.62,229464,321620535.40,22115,119244,51.97,2017,6,-0.64,Slight negative
PVR,EQ,2017-07-03,1408.55,1415,1444,1406.60,1440,1440.40,1433.98,197905,283792055.85,18581,72803,36.79,2017,7,2.26,Positive
PVR,EQ,2017-07-04,1440.40,1442,1445,1421.55,1421.60,1425.75,1430.29,63910,91409589.10,6096,22712,35.54,2017,7,-1.02,Negative
PVR,EQ,2017-07-05,1425.75,1425.80,1431.85,1402.10,1403.55,1407.20,1408.80,180666,254522799.25,10741,110937,61.40,2017,7,-1.30,Negative
PVR,EQ,2017-07-06,1407.20,1414.15,1439,1408,1425,1421.20,1425.73,120416,171681176.20,14248,48969,40.67,2017,7,0.99,Slight positive
PVR,EQ,2017-07-07,1421.20,1424.25,1465,1415,1418,1419.05,1441.63,317775,458114598.90,16051,115716,36.41,2017,7,-0.15,Slight
PVR,EQ,2017-07-10,1419.05,1430.20,1432.80,1418.20,1428,1425.40,1427.25,18091,25820466.05,936,8931,49.37,2017,7,0.45,Slight
PVR,EQ,2017-07-11,1425.40,1423,1425.25,1410,1417.15,1419.30,1418.31,84915,120435871.90,5905,29124,34.30,2017,7,-0.43,Slight
PVR,EQ,2017-07-12,1419.30,1422,1444,1415.05,1422,1419.60,1428.55,155733,222472988.80,14142,83388,53.55,2017,7,0.02,Slight
PVR,EQ,2017-07-13,1419.60,1424.75,1439.90,1411.55,1418.05,1417.70,1423.41,86039,122468768.60,6790,28884,33.57,2017,7,-0.13,Slight
PVR,EQ,2017-07-14,1417.70,1424,1425.95,1397.15,1404.05,1403.20,1408.63,164077,231124554.55,10041,107820,65.71,2017,7,-1.02,Negative
PVR,EQ,2017-07-17,1403.20,1406,1413.45,1370.15,1382.20,1381.95,1385.46,218713,303017140.80,11975,103877,47.49,2017,7,-1.51,Negative
PVR,EQ,2017-07-18,1381.95,1380,1394,1371.50,1384,1382,1382.95,211740,292826782.85,10090,148152,69.97,2017,7,0.00,Slight
PVR,EQ,2017-07-19,1382,1389,1401.30,1357.15,1385.30,1387.15,1377.90,336806,464085138.25,22936,187620,55.71,2017,7,0.37,Slight
PVR,EQ,2017-07-20,1387.15,1395.95,1413.45,1380.05,1383.50,1385.80,1395.62,378948,528868291.50,16032,206958,54.61,2017,7,-0.10,Slight
PVR,EQ,2017-07-21,1385.80,1391.90,1392,1344.40,1370.95,1367.50,1371.28,252029,345601852.90,14355,120894,47.97,2017,7,-1.32,Negative
PVR,EQ,2017-07-24,1367.50,1370,1383.40,1367,1370,1369.40,1372.31,134339,184355075.65,11930,73412,54.65,2017,7,0.14,Slight
PVR,EQ,2017-07-25,1369.40,1374.70,1398,1372.60,1381,1381.70,1386.80,243186,337250910.70,16199,133080,54.72,2017,7,0.90,Slight positive
PVR,EQ,2017-07-26,1381.70,1389,1404.45,1344,1357,1354.40,1378.73,686032,945852727.60,27060,246005,35.86,2017,7,-1.98,Negative
PVR,EQ,2017-07-27,1354.40,1362.65,1368.60,1318.60,1340,1330.30,1336.26,332134,443818859.20,24648,134733,40.57,2017,7,-1.78,Negative
PVR,EQ,2017-07-28,1330.30,1339.35,1352.45,1323.80,1340,1340,1336.40,109277,146038131.20,6322,38091,34.86,2017,7,0.73,Slight positive
PVR,EQ,2017-07-31,1340,1339.50,1354,1331.25,1341.55,1340.55,1343.18,133803,179721358.90,11860,90357,67.53,2017,7,0.04,Slight
PVR,EQ,2017-08-01,1340.55,1345,1378,1342.40,1377,1375.10,1366.97,301429,412043103.20,12980,191057,63.38,2017,8,2.58,Positive
PVR,EQ,2017-08-02,1375.10,1380,1389.90,1372.35,1375,1377.65,1381.13,213112,294336008.20,9220,140077,65.73,2017,8,0.19,Slight
PVR,EQ,2017-08-03,1377.65,1377,1385,1362,1373.20,1374.05,1375.63,202693,278830670.75,8319,151231,74.61,2017,8,-0.26,Slight
PVR,EQ,2017-08-04,1374.05,1374.70,1408.25,1370.55,1400,1400.20,1397.94,285632,399297659,20296,123494,43.24,2017,8,1.90,Positive
PVR,EQ,2017-08-07,1400.20,1405,1437.20,1381.10,1431.40,1430.45,1413.69,290183,410227956.30,15549,121711,41.94,2017,8,2.16,Positive
PVR,EQ,2017-08-08,1430.45,1437.20,1445,1383.60,1410,1409.65,1416.52,293605,415896598.50,12056,159940,54.47,2017,8,-1.45,Negative
PVR,EQ,2017-08-09,1409.65,1415,1430,1352.20,1354.20,1358,1379.84,228114,314761138.60,19681,111571,48.91,2017,8,-3.66,Among top losers
PVR,EQ,2017-08-10,1358,1349,1380.75,1301.10,1339.35,1332.60,1352.85,247374,334661007.05,12146,138339,55.92,2017,8,-1.87,Negative
PVR,EQ,2017-08-11,1332.60,1319,1340.40,1261,1284.65,1285.90,1297.19,354851,460309395.05,16208,136740,38.53,2017,8,-3.50,Among top losers
PVR,EQ,2017-08-14,1285.90,1284.90,1307.90,1225,1293,1288,1268.79,401325,509197765.90,16925,162694,40.54,2017,8,0.16,Slight
PVR,EQ,2017-08-16,1288,1290.05,1333.45,1274.05,1328,1329.20,1296.35,363066,470660546.45,18155,254727,70.16,2017,8,3.20,Among top gainers
PVR,EQ,2017-08-17,1329.20,1329,1339.55,1296.50,1304.95,1301.25,1319.87,183800,242591771.90,10502,76560,41.65,2017,8,-2.10,Negative
PVR,EQ,2017-08-18,1301.25,1300.85,1329,1285,1315.35,1321.75,1304.72,114016,148758735.50,7654,36631,32.13,2017,8,1.58,Positive
PVR,EQ,2017-08-21,1321.75,1321.75,1328.25,1274,1278.35,1280.65,1290.21,160371,206912135.05,7123,76369,47.62,2017,8,-3.11,Among top losers
PVR,EQ,2017-08-22,1280.65,1280.65,1295,1249,1270.40,1272.35,1268.66,177930,225731937.80,13303,94365,53.03,2017,8,-0.65,Slight negative
PVR,EQ,2017-08-23,1272.35,1273,1282.90,1250,1257.70,1255.45,1259.46,173261,218215021.35,10919,92534,53.41,2017,8,-1.33,Negative
PVR,EQ,2017-08-24,1255.45,1258,1272,1253.30,1264,1263.55,1262.86,103862,131163063.45,7002,46965,45.22,2017,8,0.65,Slight positive
PVR,EQ,2017-08-28,1263.55,1265,1284.50,1258.75,1282.65,1276.25,1271.54,183234,232989955.65,19477,104440,57,2017,8,1.01,Positive
PVR,EQ,2017-08-29,1276.25,1275,1283.55,1253.10,1263.15,1261.50,1266.11,120692,152809276.40,5951,44382,36.77,2017,8,-1.16,Negative
PVR,EQ,2017-08-30,1261.50,1269.40,1314,1266.85,1311.50,1309.95,1294.40,184144,238355169.85,13165,56150,30.49,2017,8,3.84,Among top gainers
PVR,EQ,2017-08-31,1309.95,1307.90,1330,1297.10,1322,1321.45,1313.26,164554,216102550.25,8247,72235,43.90,2017,8,0.88,Slight positive
PVR,EQ,2017-09-01,1321.45,1322,1350,1309.90,1328.55,1323.40,1331.34,208183,277163161.45,17580,84359,40.52,2017,9,0.15,Slight
PVR,EQ,2017-09-04,1323.40,1322,1330.95,1296.15,1301.05,1310.25,1312.69,94097,123520432.40,6439,12983,13.80,2017,9,-0.99,Slight negative
PVR,EQ,2017-09-05,1310.25,1310,1310,1285.80,1307,1304.90,1299.31,132512,172173999.95,6020,25558,19.29,2017,9,-0.41,Slight
PVR,EQ,2017-09-06,1304.90,1304.10,1324,1296.75,1310.05,1308.40,1312.85,130353,171134274.05,5693,31945,24.51,2017,9,0.27,Slight
PVR,EQ,2017-09-07,1308.40,1310,1338,1303.25,1319.95,1323.65,1325.44,122640,162552380.05,6616,19182,15.64,2017,9,1.17,Positive
PVR,EQ,2017-09-08,1323.65,1322,1374.45,1322,1371,1366.35,1361.40,335483,456725511.40,17634,52547,15.66,2017,9,3.23,Among top gainers
PVR,EQ,2017-09-11,1366.35,1378,1388.80,1338.30,1348.90,1344.85,1362.56,303111,413007096.90,15222,83583,27.58,2017,9,-1.57,Negative
PVR,EQ,2017-09-12,1344.85,1349.70,1365,1341,1347.25,1346.85,1354.15,99652,134943864.70,7670,21016,21.09,2017,9,0.15,Slight
PVR,EQ,2017-09-13,1346.85,1349.05,1362.95,1316.05,1327,1323.35,1342.11,96710,129795232.95,6756,23114,23.90,2017,9,-1.74,Negative
PVR,EQ,2017-09-14,1323.35,1334.70,1345.60,1318,1318.25,1321.35,1329.26,72627,96540075.10,6133,31172,42.92,2017,9,-0.15,Slight
PVR,EQ,2017-09-15,1321.35,1325,1357,1310,1335.35,1336.35,1340.24,193013,258683787.30,13279,88227,45.71,2017,9,1.14,Positive
PVR,EQ,2017-09-18,1336.35,1348,1355,1321.65,1334.25,1329.30,1335.07,81988,109460025.15,6677,40762,49.72,2017,9,-0.53,Slight negative
PVR,EQ,2017-09-19,1329.30,1335,1350,1320.10,1339,1337.80,1335.40,72193,96406610.85,5606,18417,25.51,2017,9,0.64,Slight positive
PVR,EQ,2017-09-20,1337.80,1338.15,1347.20,1300,1308,1310,1325.14,125823,166732657.30,12654,52772,41.94,2017,9,-2.08,Negative
PVR,EQ,2017-09-21,1310,1315.90,1324.95,1275.75,1282.45,1281.20,1289.81,339178,437476759.35,25479,188870,55.68,2017,9,-2.20,Negative
PVR,EQ,2017-09-22,1281.20,1274,1274,1209.40,1224.90,1217.70,1242.22,335055,416210881.35,17688,181207,54.08,2017,9,-4.96,Among top losers
PVR,EQ,2017-09-25,1217.70,1228.70,1228.70,1166.65,1211.35,1214.90,1195.57,366125,437729220.80,14216,170706,46.63,2017,9,-0.23,Slight
PVR,EQ,2017-09-26,1214.90,1210,1244,1190.25,1201.05,1211.85,1213.97,212923,258481381.55,10109,73940,34.73,2017,9,-0.25,Slight
PVR,EQ,2017-09-27,1211.85,1210.10,1233.05,1165,1168,1174.60,1195.05,203339,242999396.10,11926,58489,28.76,2017,9,-3.07,Among top losers
PVR,EQ,2017-09-28,1174.60,1177.90,1205.95,1142.05,1188,1194.65,1185.32,332099,393644793.05,18503,98063,29.53,2017,9,1.71,Positive
PVR,EQ,2017-09-29,1194.65,1202,1232.90,1186,1212,1204.90,1210.33,213881,258866942.90,10600,47274,22.10,2017,9,0.86,Slight positive
PVR,EQ,2017-10-03,1204.90,1216,1238.25,1210.25,1230,1221.05,1224.08,129232,158190665.80,6728,33456,25.89,2017,10,1.34,Positive
PVR,EQ,2017-10-04,1221.05,1220.10,1278,1220.10,1273.50,1268.60,1249.81,320762,400890408.30,14237,116906,36.45,2017,10,3.89,Among top gainers
PVR,EQ,2017-10-05,1268.60,1275,1324.20,1268.05,1296,1293.45,1298.46,404082,524683818.05,12420,188054,46.54,2017,10,1.96,Positive
PVR,EQ,2017-10-06,1293.45,1311.90,1321.95,1292.85,1310,1313.65,1305.54,234043,305552391.35,6068,107969,46.13,2017,10,1.56,Positive
PVR,EQ,2017-10-09,1313.65,1314,1396.10,1310.15,1391.60,1387.60,1359.77,437638,595085793.10,24655,169895,38.82,2017,10,5.63,Among top gainers
PVR,EQ,2017-10-10,1387.60,1400,1415,1356,1379,1376.65,1382.78,282768,391005880.65,13763,56984,20.15,2017,10,-0.79,Slight negative
PVR,EQ,2017-10-11,1376.65,1382,1403.15,1330.50,1345,1335.65,1369.08,216793,296808041.80,14933,56232,25.94,2017,10,-2.98,Negative
PVR,EQ,2017-10-12,1335.65,1335,1360,1334.95,1357,1352.70,1349.35,149647,201925632.25,6319,42845,28.63,2017,10,1.28,Positive
PVR,EQ,2017-10-13,1352.70,1356,1434,1344.65,1386,1404.10,1393.13,438244,610530593.05,20456,90039,20.55,2017,10,3.80,Among top gainers
PVR,EQ,2017-10-16,1404.10,1389.85,1403.90,1362,1371,1372.10,1380.34,280485,387165255.95,12320,127363,45.41,2017,10,-2.28,Negative
PVR,EQ,2017-10-17,1372.10,1372,1393.45,1348,1385,1387.60,1362.97,449521,612684768.60,18136,102567,22.82,2017,10,1.13,Positive
PVR,EQ,2017-10-18,1387.60,1378.10,1385,1359.95,1372,1369.10,1371.25,311307,426878605.50,12642,195046,62.65,2017,10,-1.33,Negative
PVR,EQ,2017-10-19,1369.10,1374,1387,1355,1356.90,1362.65,1369.60,22247,30469543.10,1729,5911,26.57,2017,10,-0.47,Slight
PVR,EQ,2017-10-23,1362.65,1361.05,1423.05,1361.05,1418,1415.75,1397.01,186223,260155376.40,12313,71257,38.26,2017,10,3.90,Among top gainers
PVR,EQ,2017-10-24,1415.75,1420,1448,1413.80,1423,1420.85,1434.65,333438,478365418.50,17774,130200,39.05,2017,10,0.36,Slight
PVR,EQ,2017-10-25,1420.85,1430,1433.80,1368.10,1389.60,1388.85,1391.69,206081,286800350.40,12941,62560,30.36,2017,10,-2.25,Negative
PVR,EQ,2017-10-26,1388.85,1395,1430,1390,1427.50,1421.45,1413.64,232745,329017486.60,17460,133171,57.22,2017,10,2.35,Positive
PVR,EQ,2017-10-27,1421.45,1410,1436.05,1331.45,1420,1421.20,1395.27,762643,1064090228.45,32428,70983,9.31,2017,10,-0.02,Slight
PVR,EQ,2017-10-30,1421.20,1425,1430,1390.10,1398.95,1397.45,1404.09,192813,270726282.05,8499,36577,18.97,2017,10,-1.67,Negative
PVR,EQ,2017-10-31,1397.45,1393,1404.95,1380.25,1390,1387.15,1394.65,115197,160658949.10,7258,32888,28.55,2017,10,-0.74,Slight negative
