Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
RAYMOND,EQ,2017-05-15,763.45,765,779,757.05,773.90,772.80,770.09,292498,225249137.55,9033,55467,18.96,2017,5,0,Slight
RAYMOND,EQ,2017-05-16,772.80,773.45,801.45,768.10,783.50,785,788.89,823956,650006994.60,18238,179377,21.77,2017,5,1.58,Positive
RAYMOND,EQ,2017-05-17,785,786,804.95,778.40,785.50,783.65,792.72,598094,474121199.80,13968,127637,21.34,2017,5,-0.17,Slight
RAYMOND,EQ,2017-05-18,783.65,779.35,779.95,740.20,744,746.95,762.57,319834,243895555.80,7713,92200,28.83,2017,5,-4.68,Among top losers
RAYMOND,EQ,2017-05-19,746.95,748,767.50,714,722,723.10,740.30,561346,415561909.40,13328,137648,24.52,2017,5,-3.19,Among top losers
RAYMOND,EQ,2017-05-22,723.10,728.30,741.30,705.50,710.60,715.95,724.56,384821,278826926.40,11424,51189,13.30,2017,5,-0.99,Slight negative
RAYMOND,EQ,2017-05-23,715.95,713,723.80,681.25,698.25,699.55,699.33,501206,350509713.70,12935,126651,25.27,2017,5,-2.29,Negative
RAYMOND,EQ,2017-05-24,699.55,704.90,705.50,642.20,667,662.25,674.73,591516,399116303.75,16424,141211,23.87,2017,5,-5.33,Among top losers
RAYMOND,EQ,2017-05-25,662.25,630,686.25,598.10,682.90,678.30,651.28,2850149,1856244030.60,54827,315039,11.05,2017,5,2.42,Positive
RAYMOND,EQ,2017-05-26,678.30,681.70,733.90,679.65,718.65,721.15,710.37,1455736,1034107349.70,32550,237806,16.34,2017,5,6.32,Among top gainers
RAYMOND,EQ,2017-05-29,721.15,721.95,732,690.80,695.70,695.50,709.20,410356,291026256.55,11904,55650,13.56,2017,5,-3.56,Among top losers
RAYMOND,EQ,2017-05-30,695.50,692.90,700,679.10,694,695.45,692.08,328214,227148924.10,8238,54841,16.71,2017,5,-0.01,Slight
RAYMOND,EQ,2017-05-31,695.45,695,720,691.20,694.90,694.20,704.84,495558,349288831.55,12826,120266,24.27,2017,5,-0.18,Slight
RAYMOND,EQ,2017-06-01,694.20,696,708.80,674.10,693.50,693.90,697.14,378903,264146785.75,10342,51076,13.48,2017,6,-0.04,Slight
RAYMOND,EQ,2017-06-02,693.90,707.80,714.50,697.40,702.10,702.65,706.31,426635,301334551.60,9861,64055,15.01,2017,6,1.26,Positive
RAYMOND,EQ,2017-06-05,702.65,705.10,757,705,749.45,751.25,739.27,1863074,1377323053.35,36896,201205,10.80,2017,6,6.92,Among top gainers
RAYMOND,EQ,2017-06-06,751.25,756,759.50,721.30,729.15,728.45,741.59,1165454,864293244.40,25036,171125,14.68,2017,6,-3.03,Among top losers
RAYMOND,EQ,2017-06-07,728.45,730,741.80,721,725,729.05,731.45,530090,387736821.50,11395,202308,38.16,2017,6,0.08,Slight
RAYMOND,EQ,2017-06-08,729.05,726.40,737.80,721.50,733,733.50,731.23,308103,225293151.90,10843,63597,20.64,2017,6,0.61,Slight positive
RAYMOND,EQ,2017-06-09,733.50,734.50,736.45,725.55,729,732.10,729.90,194159,141717097.70,5991,49516,25.50,2017,6,-0.19,Slight
RAYMOND,EQ,2017-06-12,732.10,731.55,741.55,713.05,719.75,717.70,726.26,298904,217082904.20,10033,52812,17.67,2017,6,-1.97,Negative
RAYMOND,EQ,2017-06-13,717.70,723,747.50,718.60,731.40,730.85,735.79,966568,711188681.60,25790,114480,11.84,2017,6,1.83,Positive
RAYMOND,EQ,2017-06-14,730.85,713.55,730.05,703.80,727,721.60,713.36,853674,608979192.90,19312,95684,11.21,2017,6,-1.27,Negative
RAYMOND,EQ,2017-06-15,721.60,723,738.75,720,731.60,729.90,730.65,410749,300114891.95,11669,58513,14.25,2017,6,1.15,Positive
RAYMOND,EQ,2017-06-16,729.90,732,749.90,730.55,740,739.95,744.27,868955,646737621.60,19109,123650,14.23,2017,6,1.38,Positive
RAYMOND,EQ,2017-06-19,739.95,740.10,749.30,729.25,735,731.70,738.40,233023,172065179.15,7083,48854,20.97,2017,6,-1.11,Negative
RAYMOND,EQ,2017-06-20,731.70,732.90,746.05,732,736,735.35,740.11,344875,255245789.05,8902,50566,14.66,2017,6,0.50,Slight
RAYMOND,EQ,2017-06-21,735.35,732.10,752.50,732.10,745.90,743.40,744.80,551585,410820800.45,13993,97101,17.60,2017,6,1.09,Positive
RAYMOND,EQ,2017-06-22,743.40,747,752,726.15,731,731,740.85,263233,195014866.70,8303,54661,20.77,2017,6,-1.67,Negative
RAYMOND,EQ,2017-06-23,731,734,738.30,707.05,714,712.30,719.69,321669,231503530.85,9108,64125,19.94,2017,6,-2.56,Negative
RAYMOND,EQ,2017-06-27,712.30,716,722.40,692.05,700,699.80,702.36,356308,250254743,10039,60683,17.03,2017,6,-1.75,Negative
RAYMOND,EQ,2017-06-28,699.80,702,721,701.25,714,714.30,712.02,688127,489962738.15,19307,195108,28.35,2017,6,2.07,Positive
RAYMOND,EQ,2017-06-29,714.30,720,730,710.40,726,721.80,718.70,757780,544613023.25,13675,347640,45.88,2017,6,1.05,Positive
RAYMOND,EQ,2017-06-30,721.80,719,734.75,710.10,723,724.70,723.40,326097,235898950.30,9840,78843,24.18,2017,6,0.40,Slight
RAYMOND,EQ,2017-07-03,724.70,737.05,770.30,725.05,769.90,768.05,758.30,1094256,829778980.65,26404,188533,17.23,2017,7,5.98,Among top gainers
RAYMOND,EQ,2017-07-04,768.05,772,781.95,761.80,767,765.25,771,716903,552729120.85,17602,76838,10.72,2017,7,-0.36,Slight
RAYMOND,EQ,2017-07-05,765.25,765,818.90,756.95,816.60,815.65,799.19,3132993,2503858903.30,62787,705932,22.53,2017,7,6.59,Among top gainers
RAYMOND,EQ,2017-07-06,815.65,819.40,839.40,806.10,818,819.65,827.83,1897756,1571022157.25,35534,336889,17.75,2017,7,0.49,Slight
RAYMOND,EQ,2017-07-07,819.65,815.50,828,805.10,810,808.20,815.57,756746,617177883.35,18903,166332,21.98,2017,7,-1.40,Negative
RAYMOND,EQ,2017-07-10,808.20,813.05,819,812.30,819,815.55,815.88,75528,61622085.50,1921,26988,35.73,2017,7,0.91,Slight positive
RAYMOND,EQ,2017-07-11,815.55,817.50,826,784.60,787.40,788.85,808.06,659341,532784670.50,18983,196601,29.82,2017,7,-3.27,Among top losers
RAYMOND,EQ,2017-07-12,788.85,795.10,809,790.70,807,802.65,800.48,741862,593845543.85,21626,230085,31.01,2017,7,1.75,Positive
RAYMOND,EQ,2017-07-13,802.65,807,816.90,802.30,805.30,806.80,808.18,397610,321339430.10,12581,82695,20.80,2017,7,0.52,Slight positive
RAYMOND,EQ,2017-07-14,806.80,807,810.60,787.80,793,792.25,793.52,411394,326449781.45,10254,151350,36.79,2017,7,-1.80,Negative
RAYMOND,EQ,2017-07-17,792.25,792.25,815,780.40,799.65,800.20,805.25,741777,597313850.35,20070,95416,12.86,2017,7,1.00,Positive
RAYMOND,EQ,2017-07-18,800.20,804.75,813.90,790.55,797.80,794.30,801.54,431401,345786106.75,12042,62522,14.49,2017,7,-0.74,Slight negative
RAYMOND,EQ,2017-07-19,794.30,797.70,807.20,792,798.60,795.50,799.97,375684,300535891.20,10878,89797,23.90,2017,7,0.15,Slight
RAYMOND,EQ,2017-07-20,795.50,797.90,820.80,796.05,809.65,807.55,812.03,986724,801248444.75,21286,168869,17.11,2017,7,1.51,Positive
RAYMOND,EQ,2017-07-21,807.55,812,815.65,790.50,801,800.80,802.62,418624,335994656.10,10072,63985,15.28,2017,7,-0.84,Slight negative
RAYMOND,EQ,2017-07-24,800.80,800.80,819,800,809.90,808.85,811.60,570373,462915819.25,16607,116768,20.47,2017,7,1.01,Positive
RAYMOND,EQ,2017-07-25,808.85,814,814,799.20,804.30,806.90,806.40,362971,292701549.40,7916,75178,20.71,2017,7,-0.24,Slight
RAYMOND,EQ,2017-07-26,806.90,800,817.80,794,802,803.80,807.65,576025,465227473.10,14263,147346,25.58,2017,7,-0.38,Slight
RAYMOND,EQ,2017-07-27,803.80,807,813.90,782.50,792.75,786.95,797.52,900407,718093811.20,11095,382843,42.52,2017,7,-2.10,Negative
RAYMOND,EQ,2017-07-28,786.95,793,800,778.70,785.45,786.25,788.66,325873,257002830.90,7398,85111,26.12,2017,7,-0.09,Slight
RAYMOND,EQ,2017-07-31,786.25,787.50,806,786.40,790.30,791.75,797.07,533556,425281920.20,10715,119251,22.35,2017,7,0.70,Slight positive
