Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
RCOM,EQ,2017-05-15,32.45,32.50,32.60,31.70,32,32,31.99,7126316,227997349.45,11883,1908042,26.77,2017,5,0,Slight
RCOM,EQ,2017-05-16,32,32.05,32.35,31.85,32,32.10,32.12,7274881,233687705.50,9976,2211910,30.40,2017,5,0.31,Slight
RCOM,EQ,2017-05-17,32.10,32.10,32.30,31.70,31.90,31.95,31.97,6245114,199636016.25,8838,1399815,22.41,2017,5,-0.47,Slight
RCOM,EQ,2017-05-18,31.95,31.60,31.90,31,31.05,31.05,31.34,11189938,350677557.60,17051,3629175,32.43,2017,5,-2.82,Negative
RCOM,EQ,2017-05-19,31.05,31.20,31.45,30.25,30.55,30.55,30.80,11898780,366454736,18065,3309529,27.81,2017,5,-1.61,Negative
RCOM,EQ,2017-05-22,30.55,30.75,30.80,29.70,29.90,29.80,30.08,10150535,305352630.70,19810,3463929,34.13,2017,5,-2.45,Negative
RCOM,EQ,2017-05-23,29.80,29.70,29.80,27.20,27.95,28,28.16,25930820,730092658.15,42741,5472973,21.11,2017,5,-6.04,Among top losers
RCOM,EQ,2017-05-24,28,28,28.20,25.30,25.90,25.90,26.34,46243616,1218051381.35,60442,12211614,26.41,2017,5,-7.50,Bear drop
RCOM,EQ,2017-05-25,25.90,25.90,26.55,25.15,26.20,25.95,25.90,28257448,731824827.85,35034,6872713,24.32,2017,5,0.19,Slight
RCOM,EQ,2017-05-26,25.95,26,26.30,25.35,25.95,25.75,25.93,14024830,363634445.40,20142,4643580,33.11,2017,5,-0.77,Slight negative
RCOM,EQ,2017-05-29,25.75,25,25.30,19.70,20.80,20.50,21.29,114681061,2441748320.65,121576,24407844,21.28,2017,5,-20.39,Bear drop
RCOM,EQ,2017-05-30,20.50,20,22.45,18.95,20.20,20,20.51,130001062,2666351361.75,131557,24960708,19.20,2017,5,-2.44,Negative
RCOM,EQ,2017-05-31,20,20,20.70,18.10,20.55,19.90,19.03,231757141,4409651786.10,144306,36142401,15.59,2017,5,-0.50,Slight negative
RCOM,EQ,2017-06-01,19.90,20.50,21.15,19.85,20.70,20.75,20.56,119167702,2450061180.35,100392,23621882,19.82,2017,6,4.27,Among top gainers
RCOM,EQ,2017-06-02,20.75,20.50,21.65,20.05,20.70,20.65,20.67,92064997,1902732035.80,76785,18572290,20.17,2017,6,-0.48,Slight
RCOM,EQ,2017-06-05,20.65,21.40,21.60,20.65,20.75,20.80,20.99,62528686,1312642831.15,48525,20457641,32.72,2017,6,0.73,Slight positive
RCOM,EQ,2017-06-06,20.80,20.80,20.85,19.75,20.20,20.15,20.18,44525105,898335244.25,37179,8623150,19.37,2017,6,-3.13,Among top losers
RCOM,EQ,2017-06-07,20.15,19.70,19.70,19.15,19.30,19.35,19.45,45032892,875696493.55,35975,11802183,26.21,2017,6,-3.97,Among top losers
RCOM,EQ,2017-06-08,19.35,19.30,19.40,18.65,18.65,18.75,18.97,32893792,624120950.15,30192,10666086,32.43,2017,6,-3.10,Among top losers
RCOM,EQ,2017-06-09,18.75,18.50,18.75,18.15,18.70,18.40,18.37,36481400,670055620.80,31954,10796436,29.59,2017,6,-1.87,Negative
RCOM,EQ,2017-06-12,18.40,18.40,19.10,18.10,18.40,18.35,18.53,60514009,1121182625.95,40724,15039813,24.85,2017,6,-0.27,Slight
RCOM,EQ,2017-06-13,18.35,18.70,18.90,17.90,17.90,18.05,18.31,48409495,886139295.45,42295,13194312,27.26,2017,6,-1.63,Negative
