Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
SONATSOFTW,EQ,2017-05-15,163.60,164.90,165,162.10,162.45,162.65,163.09,53383,8706165.55,1251,35924,67.29,2017,5,0,Slight
SONATSOFTW,EQ,2017-05-16,162.65,163,163.95,158,158.50,158.60,160.17,270635,43346778.55,5672,155739,57.55,2017,5,-2.49,Negative
SONATSOFTW,EQ,2017-05-17,158.60,158.50,159.85,157.55,158,158.25,158.62,56955,9034082.85,1206,37437,65.73,2017,5,-0.22,Slight
SONATSOFTW,EQ,2017-05-18,158.25,158.25,161.75,156.55,156.75,157.40,158.69,169341,26872646.85,3728,85633,50.57,2017,5,-0.54,Slight negative
SONATSOFTW,EQ,2017-05-19,157.40,156.60,159,150.30,151.70,151.90,154,167554,25803272.65,2082,117644,70.21,2017,5,-3.49,Among top losers
SONATSOFTW,EQ,2017-05-22,151.90,153.40,153.40,150,150.05,150.45,151.17,111525,16859640.15,3503,75527,67.72,2017,5,-0.95,Slight negative
SONATSOFTW,EQ,2017-05-23,150.45,150,150.25,144.55,146.50,146.05,146.52,220787,32349931.10,6312,156354,70.82,2017,5,-2.92,Negative
SONATSOFTW,EQ,2017-05-24,146.05,147,148,143.85,144,146,145.99,143541,20955344.85,2590,86947,60.57,2017,5,-0.03,Slight
SONATSOFTW,EQ,2017-05-25,146,144,150.45,143,150,149.65,147.20,152779,22489070,3115,103014,67.43,2017,5,2.50,Positive
SONATSOFTW,EQ,2017-05-26,149.65,150,153,146.60,149.45,149.65,148.98,166213,24762185.30,4221,101839,61.27,2017,5,0,Slight
SONATSOFTW,EQ,2017-05-29,149.65,151.60,152.70,148,149.90,148.60,150.28,97412,14638594.60,2008,67754,69.55,2017,5,-0.70,Slight negative
SONATSOFTW,EQ,2017-05-30,148.60,152.90,152.90,148.75,149.65,149.80,150.30,116285,17477665.15,2562,77761,66.87,2017,5,0.81,Slight positive
SONATSOFTW,EQ,2017-05-31,149.80,149.70,152.05,147.60,150,148.95,149.57,138676,20742097,2583,100020,72.12,2017,5,-0.57,Slight negative
SONATSOFTW,EQ,2017-06-01,148.95,147.50,157.25,147.50,153.50,153.05,153.01,972944,148866179.50,10993,798433,82.06,2017,6,2.75,Positive
SONATSOFTW,EQ,2017-06-02,153.05,155.05,163.70,153.10,160,159.35,159.14,473285,75320366.85,10671,260370,55.01,2017,6,4.12,Among top gainers
SONATSOFTW,EQ,2017-06-05,159.35,160.10,166.80,159.95,162.50,162.90,163.77,207187,33930200.95,4618,86285,41.65,2017,6,2.23,Positive
SONATSOFTW,EQ,2017-06-06,162.90,163.90,168.50,161,164,164.10,165.84,273667,45384942.60,5480,119759,43.76,2017,6,0.74,Slight positive
SONATSOFTW,EQ,2017-06-07,164.10,164.95,168.70,159,159.90,160.75,163.80,392254,64252314.75,6905,138758,35.37,2017,6,-2.04,Negative
SONATSOFTW,EQ,2017-06-08,160.75,162.30,162.30,157.25,158.50,158.45,158.78,86270,13698353.80,2992,47161,54.67,2017,6,-1.43,Negative
SONATSOFTW,EQ,2017-06-09,158.45,160.30,162,157.65,160.25,160.40,160.16,130731,20938125.75,3004,57083,43.66,2017,6,1.23,Positive
SONATSOFTW,EQ,2017-06-12,160.40,159,161,156,156.20,156.30,157.29,125785,19785272.65,2410,81667,64.93,2017,6,-2.56,Negative
SONATSOFTW,EQ,2017-06-13,156.30,156.30,157.45,153.35,155,154.15,155.10,128496,19929365.65,2826,90286,70.26,2017,6,-1.38,Negative
SONATSOFTW,EQ,2017-06-14,154.15,153.10,154.75,149,153.35,152.70,151.89,246320,37413033.80,4519,144695,58.74,2017,6,-0.94,Slight negative
SONATSOFTW,EQ,2017-06-15,152.70,152,153,149.50,150.55,150.50,151.22,128005,19357193.10,3300,89141,69.64,2017,6,-1.44,Negative
SONATSOFTW,EQ,2017-06-16,150.50,152,163.85,150.60,157.05,158.05,156.84,560532,87913904.15,7569,250487,44.69,2017,6,5.02,Among top gainers
SONATSOFTW,EQ,2017-06-19,158.05,158.05,158.35,153.10,153.80,153.95,155.23,179646,27886253.50,5050,100106,55.72,2017,6,-2.59,Negative
SONATSOFTW,EQ,2017-06-20,153.95,153.25,155.30,152.60,154.15,153.95,153.95,138448,21313807.30,4073,90121,65.09,2017,6,0,Slight
SONATSOFTW,EQ,2017-06-21,153.95,153.80,155.20,152.15,153.20,152.85,152.96,140085,21427430.45,4509,106974,76.36,2017,6,-0.71,Slight negative
SONATSOFTW,EQ,2017-06-22,152.85,153.95,155.25,151.50,152.50,152.25,153.25,114800,17593386.55,3416,72306,62.98,2017,6,-0.39,Slight
SONATSOFTW,EQ,2017-06-23,152.25,152.60,152.85,149.60,151.35,151.30,150.95,136992,20678531.25,3372,95696,69.86,2017,6,-0.62,Slight negative
