Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
VIPIND,EQ,2017-05-15,202.05,203.65,205,198.10,198.95,199.20,200.70,145003,29102299.85,2102,66456,45.83,2017,5,0,Slight
VIPIND,EQ,2017-05-16,199.20,200.40,205,198.90,201,200.90,202.30,357349,72291505,6281,101836,28.50,2017,5,0.01,Slight
VIPIND,EQ,2017-05-17,200.90,201.55,202.05,198.50,199,199.65,200.71,128429,25777567.60,3750,64230,50.01,2017,5,-0.01,Slight
VIPIND,EQ,2017-05-18,199.65,199.10,202,192.05,192.55,193.30,198.79,441208,87708685.85,6837,240717,54.56,2017,5,-0.03,Slight
VIPIND,EQ,2017-05-19,193.30,199,204,194.25,196.50,195.95,198.82,723731,143889069.85,10066,184810,25.54,2017,5,0.01,Slight
VIPIND,EQ,2017-05-22,195.95,199,200.50,190.25,192.60,192.85,195.55,282636,55269091.75,3895,121074,42.84,2017,5,-0.02,Slight
VIPIND,EQ,2017-05-23,192.85,193.90,194.25,181,182.50,183.20,186.01,186052,34606724.45,3689,80316,43.17,2017,5,-0.05,Slight
VIPIND,EQ,2017-05-24,183.20,184.50,188.95,178.95,183.20,183.40,184.57,202226,37325142.70,4182,88883,43.95,2017,5,0.00,Slight
VIPIND,EQ,2017-05-25,183.40,184.60,188.90,183,186.80,187.55,186.62,135681,25320724,2113,46103,33.98,2017,5,0.02,Slight
VIPIND,EQ,2017-05-26,187.55,188.70,196.75,187,193.80,193.75,192.82,227242,43816190.90,5012,115495,50.82,2017,5,0.03,Slight
VIPIND,EQ,2017-05-29,193.75,194.75,195.25,188,189.65,189.60,191.05,119168,22767156.85,1889,45770,38.41,2017,5,-0.02,Slight
VIPIND,EQ,2017-05-30,189.60,189.90,194.80,186.10,189.90,189.35,190.82,181446,34622984.10,2814,31568,17.40,2017,5,-0.00,Slight
VIPIND,EQ,2017-05-31,189.35,189.95,195.50,188.35,194,192.70,193.13,184799,35690058.40,6418,89080,48.20,2017,5,0.02,Slight
VIPIND,EQ,2017-06-01,192.70,194.75,201.85,192,197.10,197.90,198.81,389321,77400381.75,5381,99812,25.64,2017,6,0.03,Slight
VIPIND,EQ,2017-06-02,197.90,198.40,202.80,196.10,197.50,197.90,199.42,177078,35312337.40,3462,49537,27.97,2017,6,0,Slight
VIPIND,EQ,2017-06-05,197.90,199.50,202,196.25,199.30,198.70,199.83,218575,43677236.10,3065,72162,33.01,2017,6,0.00,Slight
VIPIND,EQ,2017-06-06,198.70,199.50,201,196.25,196.30,197.35,198.37,118831,23572419.85,2675,53234,44.80,2017,6,-0.01,Slight
VIPIND,EQ,2017-06-07,197.35,197.10,200.85,193.45,193.80,194.25,196.46,142355,27967669.20,3829,82303,57.82,2017,6,-0.02,Slight
VIPIND,EQ,2017-06-08,194.25,195.55,197.50,193,194.50,194.65,195,144436,28165159,2885,64737,44.82,2017,6,0.00,Slight
VIPIND,EQ,2017-06-09,194.65,195.40,199.55,192.50,194.25,195.25,195.78,228540,44744586.90,7969,98680,43.18,2017,6,0.00,Slight
VIPIND,EQ,2017-06-12,195.25,195,198.90,193.40,195.05,195.45,196.30,153109,30054926.30,2072,63240,41.30,2017,6,0.00,Slight
VIPIND,EQ,2017-06-13,195.45,195.75,199,194.50,196.65,197,197.37,164448,32456605.60,1984,56076,34.10,2017,6,0.01,Slight
VIPIND,EQ,2017-06-14,197,197.75,203.40,193.50,194.70,195.45,198.85,561699,111692704.85,6935,214416,38.17,2017,6,-0.01,Slight
