Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
WELSPUNIND,EQ,2017-05-15,89.40,89.70,93.90,89.20,90,90.25,90.94,3056833,277998324.85,12247,1939157,63.44,2017,5,0,Slight
WELSPUNIND,EQ,2017-05-16,90.25,90.90,91,90,90.50,90.65,90.36,792353,71598203.40,6460,576788,72.79,2017,5,0.00,Slight
WELSPUNIND,EQ,2017-05-17,90.65,90.90,91.55,88.30,88.40,88.85,89.91,1886102,169577027.65,11102,1507068,79.90,2017,5,-0.02,Slight
WELSPUNIND,EQ,2017-05-18,88.85,88.70,89.40,86.30,87,86.90,87.58,582904,51049999.95,6843,372116,63.84,2017,5,-0.02,Slight
WELSPUNIND,EQ,2017-05-19,86.90,88,88,84.70,84.80,85.05,86.12,503081,43326835.15,3637,344163,68.41,2017,5,-0.02,Slight
WELSPUNIND,EQ,2017-05-22,85.05,85.85,86,81.35,84.70,83.70,83.89,2447619,205332830.45,5958,2050154,83.76,2017,5,-0.02,Slight
WELSPUNIND,EQ,2017-05-23,83.70,85.50,85.65,79,83.15,84.75,82.76,1212547,100345988.50,6234,704405,58.09,2017,5,0.01,Slight
WELSPUNIND,EQ,2017-05-24,84.75,84.45,84.45,81,83.10,82.80,82.42,1220369,100585178.45,10011,847135,69.42,2017,5,-0.02,Slight
WELSPUNIND,EQ,2017-05-25,82.80,83,84,82.10,82.90,82.95,82.85,393982,32639705.35,3097,230592,58.53,2017,5,0.00,Slight
WELSPUNIND,EQ,2017-05-26,82.95,84,84.70,82.55,83.70,84.10,84.11,385599,32431999.15,2628,232070,60.18,2017,5,0.01,Slight
WELSPUNIND,EQ,2017-05-29,84.10,84,84.20,81.90,81.90,82.10,82.75,197875,16375120.40,1679,125490,63.42,2017,5,-0.02,Slight
WELSPUNIND,EQ,2017-05-30,82.10,82.15,89,80.40,82,82.60,82.16,416603,34227466.40,3428,227116,54.52,2017,5,0.01,Slight
