Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
MUTHOOTFIN,EQ,2017-05-15,390.70,391,396.50,388.50,393,392.45,393.38,385865,151790704.55,6893,63660,16.50,2017,5,0,Slight
MUTHOOTFIN,EQ,2017-05-16,392.45,393.65,400.95,393.25,393.45,394.80,398.01,514200,204657807.20,9938,100880,19.62,2017,5,0.60,Slight positive
MUTHOOTFIN,EQ,2017-05-17,394.80,396.90,398,392.60,394.10,395.15,394.90,311597,123048142.65,6512,116484,37.38,2017,5,0.09,Slight
MUTHOOTFIN,EQ,2017-05-18,395.15,393,395.45,375.10,378.85,379.20,386.45,646434,249811874.30,11171,238171,36.84,2017,5,-4.04,Among top losers
MUTHOOTFIN,EQ,2017-05-19,379.20,395,400.90,357.45,381,379.15,382.13,3211995,1227388956.65,42906,1193472,37.16,2017,5,-0.01,Slight
MUTHOOTFIN,EQ,2017-05-22,379.15,382.10,393.95,380.80,386,385.45,386.04,1733876,669340270.15,19865,1424301,82.15,2017,5,1.66,Positive
MUTHOOTFIN,EQ,2017-05-23,385.45,386.65,389.75,372.05,381.70,382.85,383.44,915259,350950995.40,34400,453098,49.50,2017,5,-0.67,Slight negative
MUTHOOTFIN,EQ,2017-05-24,382.85,384,395.40,383.50,387,386.05,388.48,760640,295493960.35,16850,311133,40.90,2017,5,0.84,Slight positive
MUTHOOTFIN,EQ,2017-05-25,386.05,389.80,393.40,386.85,389.50,389.40,390.29,580979,226749448.15,15465,361210,62.17,2017,5,0.87,Slight positive
MUTHOOTFIN,EQ,2017-05-26,389.40,393.95,403.40,389.45,399,398.90,398.08,891020,354698808.25,18982,407907,45.78,2017,5,2.44,Positive
MUTHOOTFIN,EQ,2017-05-29,398.90,397,398.75,386.65,391,391,391.49,365945,143263174.15,8549,161197,44.05,2017,5,-1.98,Negative
MUTHOOTFIN,EQ,2017-05-30,391,392.50,396.30,382.50,395,395.05,393.63,248705,97896800.80,7024,117282,47.16,2017,5,1.04,Positive
MUTHOOTFIN,EQ,2017-05-31,395.05,395.10,415.50,394.45,412.70,412.65,410.66,1302071,534714160.35,18580,390110,29.96,2017,5,4.46,Among top gainers
MUTHOOTFIN,EQ,2017-06-01,412.65,412.60,417.95,403.35,409.75,409.95,410.18,987025,404858166.75,21362,545941,55.31,2017,6,-0.65,Slight negative
MUTHOOTFIN,EQ,2017-06-02,409.95,414.70,432,408.70,427.70,428.20,420.37,1522773,640123295.80,24316,657014,43.15,2017,6,4.45,Among top gainers
MUTHOOTFIN,EQ,2017-06-05,428.20,428,439.75,426.10,434,433.60,433.67,1130544,490279764.50,21349,368350,32.58,2017,6,1.26,Positive
MUTHOOTFIN,EQ,2017-06-06,433.60,433.65,438.60,422.40,425.25,424.85,432.24,514532,222402736.70,9382,201063,39.08,2017,6,-2.02,Negative
MUTHOOTFIN,EQ,2017-06-07,424.85,425.30,441.60,422.80,440,439.20,435.58,629866,274354657.45,11382,170446,27.06,2017,6,3.38,Among top gainers
MUTHOOTFIN,EQ,2017-06-08,439.20,444,447.45,433.60,437,435.55,441.02,853515,376421420.35,13915,303913,35.61,2017,6,-0.83,Slight negative
MUTHOOTFIN,EQ,2017-06-09,435.55,438.65,453.30,422.80,447,446.70,447.81,1619995,725442350.40,29743,604389,37.31,2017,6,2.56,Positive
MUTHOOTFIN,EQ,2017-06-12,446.70,455,455,445.40,450.80,449.45,449.93,1531400,689021268.35,22377,733110,47.87,2017,6,0.62,Slight positive
MUTHOOTFIN,EQ,2017-06-13,449.45,450.75,465.90,449.30,465.10,464.70,460.07,1525493,701839219.60,20158,653830,42.86,2017,6,3.39,Among top gainers
MUTHOOTFIN,EQ,2017-06-14,464.70,465.90,479.40,460.35,475.35,476.90,470.28,1277514,600782957.50,16942,495848,38.81,2017,6,2.63,Positive
MUTHOOTFIN,EQ,2017-06-15,476.90,474.95,481.20,468.85,473.20,472.80,475.08,655299,311319116.75,11969,189019,28.84,2017,6,-0.86,Slight negative
MUTHOOTFIN,EQ,2017-06-16,472.80,473.20,481.95,470.25,473,471.85,475.50,494930,235340581.95,8820,157774,31.88,2017,6,-0.20,Slight
MUTHOOTFIN,EQ,2017-06-19,471.85,473.05,476.70,455.85,459.70,459.70,463.08,486877,225464649.35,8655,183965,37.78,2017,6,-2.57,Negative
MUTHOOTFIN,EQ,2017-06-20,459.70,459.70,472.05,455.60,464.10,464.80,465.47,396194,184416421.40,8060,134288,33.89,2017,6,1.11,Positive
MUTHOOTFIN,EQ,2017-06-21,464.80,465,465.35,457.10,458.80,459.10,460.45,341056,157040303.05,9846,99785,29.26,2017,6,-1.23,Negative
MUTHOOTFIN,EQ,2017-06-22,459.10,460,464.80,449.20,450.50,451.15,457.14,354938,162254732.75,10543,104375,29.41,2017,6,-1.73,Negative
MUTHOOTFIN,EQ,2017-06-23,451.15,452,453.70,437.90,447.05,447.15,445.20,396801,176655232.40,13813,173780,43.80,2017,6,-0.89,Slight negative
MUTHOOTFIN,EQ,2017-06-27,447.15,446.30,447,434.80,436.05,436.05,438.60,562976,246923522.40,15970,227130,40.34,2017,6,-2.48,Negative
MUTHOOTFIN,EQ,2017-06-28,436.05,436,453.55,429.95,445.10,446.15,445.29,745164,331817139.65,26334,149330,20.04,2017,6,2.32,Positive
MUTHOOTFIN,EQ,2017-06-29,446.15,449.40,464.40,447.95,462,460.10,459.02,830368,381156144.90,12473,297195,35.79,2017,6,3.13,Among top gainers
MUTHOOTFIN,EQ,2017-06-30,460.10,458.50,459.80,450.65,456.40,455.15,454.69,327367,148851172.20,8009,55033,16.81,2017,6,-1.08,Negative
