Date,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,Volatility,21_day_SMA,34_day_SMA,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
2017-05-15,DRREDDY,EQ,2017-05-15,2580.8,2600.0,2699.0,2592.0,2667.5,2675.8,2655.42,946756,2514038416.75,60746,392469,41.45,2017,5,0.0,Slight,,,,HODL,,,,
2017-05-16,DRREDDY,EQ,2017-05-16,2675.8,2690.8,2734.0,2690.8,2717.5,2724.1,2721.18,440462,1198576504.7,27798,144587,32.83,2017,5,1.81,Positive,,,,HODL,,,,
2017-05-17,DRREDDY,EQ,2017-05-17,2724.1,2720.0,2760.0,2686.55,2738.0,2736.9,2731.48,409818,1119407972.5,25364,133595,32.6,2017,5,0.47,Slight,,,,HODL,,,,
2017-05-18,DRREDDY,EQ,2017-05-18,2736.9,2695.0,2719.85,2672.2,2681.1,2678.95,2693.81,282411,760761442.05,22125,177774,62.95,2017,5,-2.12,Negative,,,,HODL,,,,
2017-05-19,DRREDDY,EQ,2017-05-19,2678.95,2694.95,2694.95,2637.0,2654.8,2656.45,2659.44,260677,693255521.1,35605,152233,58.4,2017,5,-0.84,Slight negative,,,,HODL,,,,
2017-05-22,DRREDDY,EQ,2017-05-22,2656.45,2680.0,2681.95,2602.1,2610.0,2608.7,2621.76,154462,404961904.1,21943,69055,44.71,2017,5,-1.8,Negative,,,,HODL,,,,
2017-05-23,DRREDDY,EQ,2017-05-23,2608.7,2618.8,2618.8,2542.8,2585.0,2579.45,2573.2,284428,731891214.9,27875,139400,49.01,2017,5,-1.12,Negative,,,,HODL,,,,
2017-05-24,DRREDDY,EQ,2017-05-24,2579.45,2573.0,2573.0,2510.0,2513.0,2516.8,2536.0,366315,928974589.0,40598,193026,52.69,2017,5,-2.43,Negative,0.040213185892553224,,,HODL,,,,
2017-05-25,DRREDDY,EQ,2017-05-25,2516.8,2507.4,2508.35,2398.0,2423.0,2427.7,2444.58,808310,1975977067.55,54917,431336,53.36,2017,5,-3.54,Among top losers,0.03389079016460655,,,HODL,,,,
2017-05-26,DRREDDY,EQ,2017-05-26,2427.7,2500.0,2509.95,2403.8,2419.95,2414.4,2435.38,721031,1755982583.05,38740,328084,45.5,2017,5,-0.55,Slight negative,0.027471589815705775,,,HODL,,,,
