Date,Price,Open,High,Low,Vol.,Change %,Pred,new
2017-05-04,28060,28400,28482,28025,0.08K,-1.79%,737.9999999999682,117.57074041034866
2017-05-05,28184,28136,28382,28135,0.06K,0.44%,-146.00000000003178,295.430175937443
2017-05-08,28119,28145,28255,28097,7.85K,-0.23%,29.999999999968225,132.12371427554538
2017-05-09,27981,28125,28192,27947,10.10K,-0.49%,356.9999999999682,101.29806419293527
2017-05-10,28007,28060,28146,27981,9.28K,0.09%,123.99999999996822,112.15331832314767
2017-05-11,28022,27995,28100,27945,9.72K,0.05%,148.99999999996822,182.42708892467274
2017-05-12,28019,28088,28195,27985,9.48K,-0.01%,166.99999999996822,141.25513668036362
2017-05-15,28008,28049,28157,27996,8.76K,-0.04%,21.999999999968225,120.06900985855101
2017-05-16,28109,28025,28159,28025,7.73K,0.36%,33.999999999968225,218.40164139161428
2017-05-17,28614,28170,28638,28170,15.92K,1.80%,419.9999999999682,919.3763578274776
2017-05-18,28710,28666,28980,28551,23.80K,0.34%,233.99999999996822,475.38909320164015
2017-05-19,28634,28660,28779,28531,13.16K,-0.26%,344.9999999999682,222.89530685920545
2017-05-22,28783,28590,28799,28568,9.31K,0.52%,264.9999999999682,425.7384836180353
2017-05-23,28808,28804,28930,28740,12.50K,0.09%,137.99999999996822,194.44954766875526
2017-05-24,28719,28770,28770,28650,8.69K,-0.31%,377.9999999999682,69.28900523560151
2017-05-25,28638,28769,28770,28600,9.93K,-0.28%,412.9999999999682,39.225874125873816
2017-05-26,28847,28694,28866,28674,9.52K,0.73%,213.99999999996822,346.1584013391912
2017-05-29,28874,28843,28928,28807,4.56K,0.09%,120.99999999996822,152.28142465373094
2017-05-30,28704,28921,28960,28680,9.88K,-0.59%,490.9999999999682,63.23430962343264
2017-05-31,28905,28683,28950,28628,7.83K,0.70%,396.9999999999682,547.1156210702793
2017-06-01,28749,28877,28877,28712,1.77K,-0.54%,403.9999999999682,37.212628865978324
2017-06-02,28949,28685,29011,28680,0.31K,0.70%,221.99999999996822,598.1045676429568
2017-06-05,29111,29045,29180,29045,0.71K,0.56%,-3.0000000000317755,201.30676536409007
2017-06-06,29481,29220,29499,29216,11.14K,1.27%,258.9999999999682,546.5669153888266
2017-06-07,29376,29439,29485,29310,9.82K,-0.36%,343.9999999999682,112.39406345957106
2017-06-08,29049,29319,29345,28951,12.95K,-1.11%,905.9999999999682,125.33370177196049
2017-06-09,28938,29001,29009,28836,8.98K,-0.38%,525.9999999999682,110.61194340407744
2017-06-12,28917,28905,28971,28851,7.77K,-0.07%,173.99999999996822,132.2745138816681
2017-06-13,28862,28907,28916,28711,7.71K,-0.19%,684.9999999999682,161.0781581972078
2017-06-14,28946,28890,29025,28802,9.37K,0.29%,328.9999999999682,280.1149225748195
2017-06-15,28686,28890,28890,28640,11.43K,-0.90%,591.9999999999682,46.40153631284921
2017-06-16,28616,28697,28718,28600,6.78K,-0.24%,204.99999999996822,37.06601398601561
2017-06-19,28473,28593,28593,28460,7.55K,-0.50%,291.9999999999682,13.060751932538553
2017-06-20,28475,28470,28530,28420,7.69K,0.01%,149.99999999996822,115.21287825475157
2017-06-21,28495,28539,28575,28403,9.08K,0.07%,419.9999999999682,128.55712424743982
2017-06-22,28557,28530,28670,28519,7.48K,0.22%,-42.000000000031775,178.20119920053185
2017-06-23,28648,28596,28782,28596,7.10K,0.32%,-82.00000000003178,238.33822912295363
2017-06-26,28426,28302,28440,28264,4.61K,-0.77%,261.9999999999682,301.0087744126795
2017-06-27,28483,28411,28572,28401,7.63K,0.20%,22.999999999968225,243.4937150100341
2017-06-28,28485,28569,28660,28461,7.73K,0.01%,172.99999999996822,115.16780858016136
2017-06-29,28527,28522,28550,28380,7.94K,0.15%,549.9999999999682,175.88054968287545
2017-06-30,28295,28505,28505,28168,8.40K,-0.81%,927.9999999999682,128.51941919909223
2017-07-03,27952,28300,28300,27925,3.24K,-1.21%,803.9999999999682,27.36257833482523
2017-07-04,28043,27956,28169,27956,1.26K,0.33%,-39.000000000031775,300.66286307053815
2017-07-05,28051,28120,28155,27845,0.90K,0.03%,926.9999999999682,243.29340994792443
2017-07-06,28143,28200,28237,28111,10.57K,0.33%,204.99999999996822,69.14343139696211
2017-07-07,27812,28101,28140,27754,16.37K,-1.18%,770.9999999999682,97.80665849967407
2017-07-10,27840,27835,27887,27620,13.13K,0.10%,817.9999999999682,274.12671976828284
2017-07-11,27871,27805,27929,27702,11.02K,0.11%,419.9999999999682,294.3848458595058
2017-07-12,27889,27919,28033,27840,10.47K,0.06%,141.99999999996822,163.3396910919546
2017-07-13,27868,27945,27968,27851,7.67K,-0.08%,198.99999999996822,40.07141574808703
2017-07-14,28022,27850,28150,27753,14.38K,0.55%,431.9999999999682,572.8479803985138
2017-07-17,28147,28050,28173,28050,7.52K,0.45%,70.99999999996822,220.42534759358387
2017-07-18,28280,28160,28299,28160,9.35K,0.47%,100.99999999996822,259.59232954545587
2017-07-19,28270,28270,28285,28150,8.47K,-0.04%,464.9999999999682,135.57548845470592
2017-07-20,28345,28220,28380,28155,11.27K,0.27%,349.9999999999682,351.5183803942455
2017-07-21,28541,28333,28559,28300,9.54K,0.69%,321.9999999999682,469.2056183745591
2017-07-24,28530,28531,28612,28480,7.97K,-0.04%,120.99999999996822,131.2317415730322
2017-07-25,28490,28535,28584,28410,11.13K,-0.14%,360.9999999999682,129.4899683210133
2017-07-26,28396,28462,28462,28320,8.09K,-0.33%,435.9999999999682,76.3810734463259
2017-07-27,28477,28455,28613,28376,10.46K,0.29%,201.99999999996822,259.84356498449415
2017-07-28,28596,28533,28620,28405,8.24K,0.42%,550.9999999999682,279.4456961802498
2017-07-31,28588,28572,28628,28510,6.20K,-0.03%,223.99999999996822,134.32283409330194
2017-08-01,28514,28623,28623,28447,2.23K,-0.26%,485.9999999999682,67.41452525749628
2017-08-02,28486,28451,28586,28373,0.58K,-0.10%,246.99999999996822,248.84830648856223
2017-08-03,28447,28400,28500,28299,0.48K,-0.14%,397.9999999999682,249.05120322272703
2017-08-04,28373,28525,28585,28355,0.07K,-0.26%,315.9999999999682,78.1460059954152
2017-08-07,28419,28332,28437,28320,3.95K,0.16%,116.99999999996822,204.40900423728817
2017-08-08,28357,28416,28497,28283,7.40K,-0.22%,332.9999999999682,155.55991231481673
2017-08-09,28800,28415,28821,28415,11.58K,1.56%,363.9999999999682,796.5009677986965
2017-08-10,29130,28845,29173,28845,12.40K,1.15%,241.99999999996822,616.2407696307855
2017-08-11,29158,29147,29300,29032,11.32K,0.10%,328.9999999999682,280.16313033893675
2017-08-14,29042,29100,29116,28982,7.74K,-0.40%,339.9999999999682,76.27741356704064
2017-08-16,28878,28978,28978,28727,10.49K,-0.56%,803.9999999999682,152.31935113307918
2017-08-17,29093,28900,29174,28800,9.73K,0.74%,511.9999999999682,570.8049305555543
2017-08-18,29109,29070,29380,29013,12.43K,0.05%,-4.0000000000317755,407.2143521869512
2017-08-21,29224,29050,29248,29030,7.42K,0.40%,229.99999999996822,393.45683775404905
2017-08-22,29061,29200,29200,28980,8.75K,-0.56%,601.9999999999682,81.61490683229931
2017-08-23,29090,29063,29148,29023,7.27K,0.10%,128.99999999996822,152.28856424215337
2017-08-24,29021,29051,29107,28980,7.17K,-0.24%,167.99999999996822,97.1796756383701
2017-08-25,29086,29001,29134,28716,7.04K,0.22%,1176.9999999999682,508.3858476110872
2017-08-28,29425,29101,29440,29095,9.56K,1.17%,332.9999999999682,672.9130434782601
2017-08-29,29588,29469,29810,29425,11.07K,0.55%,72.99999999996822,506.13271028037343
2017-08-30,29540,29640,29640,29405,8.46K,-0.16%,739.9999999999682,136.07889814657392
2017-08-31,29756,29430,29832,29421,6.94K,0.73%,285.9999999999682,741.6798205363519
2017-09-01,29788,29687,29941,29671,1.15K,0.11%,11.999999999968225,372.0646759462106
2017-09-04,30174,30187,30250,29800,0.27K,1.30%,1458.9999999999682,442.6476510067113
2017-09-05,30226,30389,30421,30010,0.19K,0.17%,1157.9999999999682,250.9582139286904
2017-09-06,30088,30200,30298,30055,12.40K,-0.46%,257.9999999999537,131.26681084678057
2017-09-07,30287,30050,30348,30010,14.46K,0.66%,335.9999999999682,578.1198267244254
2017-09-08,30271,30350,30470,30221,13.38K,-0.05%,237.99999999995367,170.41196518976722
2017-09-11,29942,30187,30187,29888,12.58K,-1.09%,705.9999999999682,54.540216809422425
2017-09-12,29953,29910,29977,29830,9.39K,0.04%,338.9999999999682,190.60613476366046
2017-09-13,29896,30011,30077,29841,10.61K,-0.19%,383.9999999999682,121.43497201836362
2017-09-14,30020,29831,30059,29775,12.39K,0.41%,373.9999999999682,475.3368597816952
2017-09-15,29869,30063,30096,29840,11.58K,-0.50%,470.9999999999682,62.24879356568272
2017-09-18,29561,29845,29845,29550,10.85K,-1.03%,611.9999999999682,11.109813874787505
2017-09-19,29628,29521,29690,29521,8.11K,0.23%,44.999999999968225,276.6125470004408
2017-09-20,29780,29660,29817,29660,8.42K,0.51%,82.99999999996822,277.6351989211071
2017-09-21,29584,29620,29680,29450,13.18K,-0.66%,547.9999999999682,195.0465195246179
2017-09-22,29608,29660,29767,29586,8.54K,0.08%,84.99999999996822,129.13459068478187
2017-09-25,30065,29580,30150,29525,13.45K,1.54%,619.9999999999682,1121.430990685858
2017-09-26,29885,30129,30195,29802,11.90K,-0.60%,753.9999999999682,150.09452385746044
2017-09-27,29673,29861,29944,29644,10.37K,-0.71%,408.9999999999682,112.29348266090892
2017-09-28,29624,29650,29706,29530,7.99K,-0.17%,371.9999999999682,150.5602438198439
2017-09-29,29549,29615,29740,29430,7.49K,-0.25%,482.9999999999682,245.25348284063872
2017-10-03,29400,29420,29456,29352,1.53K,-0.50%,195.99999999996822,84.17007358953559
2017-10-04,29331,29479,29513,29258,0.23K,-0.23%,553.9999999999682,107.63623624307728
2017-10-05,29412,29469,29469,29361,0.06K,0.28%,317.9999999999682,51.18759579033576
2017-10-06,29510,29325,29540,29274,11.30K,0.33%,358.9999999999682,453.14442850311025
2017-10-09,29670,29540,29718,29540,6.17K,0.54%,81.99999999996822,308.7833446174664
2017-10-10,29768,29700,29798,29700,6.98K,0.33%,37.999999999968225,166.22437710437592
2017-10-11,29659,29717,29770,29638,5.43K,-0.37%,146.99999999996822,74.09352857817794
2017-10-12,29756,29725,29840,29692,6.88K,0.33%,78.99999999996822,179.31900848713485
2017-10-13,29800,29750,29817,29660,7.31K,0.15%,392.9999999999682,207.74106540795762
2017-10-16,29808,29809,29896,29790,5.77K,0.03%,-13.000000000031775,105.0640483383686
2017-10-17,29565,29751,29751,29550,8.27K,-0.82%,431.9999999999682,15.102030456851935
2017-10-18,29536,29640,29643,29504,5.08K,-0.10%,332.9999999999682,35.150759219090105
2017-10-19,29654,29600,29669,29593,1.70K,0.40%,66.99999999996822,130.15665866927884
2017-10-20,29541,29600,29622,29524,3.22K,-0.38%,163.99999999996822,39.05642866820199
2017-10-23,29499,29502,29550,29364,7.21K,-0.14%,497.9999999999682,183.85512872905747
2017-10-24,29498,29515,29537,29444,5.50K,-0.00%,227.99999999996822,76.17056106507151
2017-10-25,29362,29475,29475,29275,8.11K,-0.46%,573.9999999999682,87.59436379163162
2017-10-26,29236,29375,29443,29211,8.37K,-0.43%,309.9999999999682,93.19855533874217
2017-10-27,29272,29223,29299,29169,6.53K,0.12%,237.99999999996822,179.4590489903676
2017-10-30,29349,29263,29369,29204,4.82K,0.26%,301.9999999999682,251.8192370908109
2017-10-31,29040,29300,29337,28958,5.80K,-1.05%,810.9999999999682,120.07320947579136
2017-11-01,29120,29048,29260,28991,2.16K,0.28%,159.99999999996822,342.19695767651865
2017-11-02,29242,29301,29318,29168,0.34K,0.42%,396.9999999999682,91.38055403181716
2017-11-03,29191,29230,29456,29002,0.05K,-0.17%,607.9999999999682,417.9586235432034
2017-11-06,29363,29130,29388,29130,7.66K,0.59%,207.99999999996822,493.0636457260552
2017-11-07,29457,29349,29490,29333,8.21K,0.32%,138.99999999996822,265.6636893601062
2017-11-08,29562,29451,29600,29438,7.90K,0.36%,124.99999999996822,273.68238331408435
2017-11-09,29670,29530,29689,29466,9.36K,0.37%,376.9999999999682,364.54388108328203
2017-11-10,29508,29640,29700,29468,9.68K,-0.55%,363.9999999999682,100.31491787701816
2017-11-13,29619,29504,29636,29473,6.19K,0.38%,221.99999999996822,278.8074508872524
2017-11-14,29620,29550,29660,29411,10.22K,0.00%,585.9999999999682,320.7694400054388
2017-11-15,29528,29600,29740,29512,9.84K,-0.31%,67.99999999996822,156.12361073461582
2017-11-16,29491,29544,29555,29452,7.79K,-0.13%,250.99999999996822,50.1363914165413
2017-11-17,29658,29462,29689,29361,9.90K,0.57%,568.9999999999682,527.3178706447325
2017-11-20,29339,29700,29729,29268,10.65K,-1.08%,976.9999999999682,101.11832034986946
2017-11-21,29334,29410,29425,29277,7.66K,-0.02%,364.9999999999682,72.28814427707765
2017-11-22,29504,29341,29525,29280,7.80K,0.58%,385.9999999999682,409.8743169398913
2017-11-23,29420,29475,29510,29393,5.78K,-0.28%,182.99999999996822,62.10747456877653
2017-11-24,29375,29475,29500,29357,5.80K,-0.15%,246.99999999996822,43.087679258780575
2017-11-27,29460,29450,29510,29402,6.55K,0.29%,151.99999999996822,118.21304673151462
2017-11-28,29381,29450,29456,29359,5.80K,-0.27%,219.99999999996822,28.0726863994023
2017-11-29,29215,29430,29441,29188,5.89K,-0.56%,526.9999999999682,38.2340345347402
2017-11-30,28992,29287,29287,28927,6.54K,-0.76%,849.9999999999682,65.8089328309179
2017-12-01,29217,29045,29344,29038,2.16K,0.78%,72.99999999996822,479.8862869343611
2017-12-04,29059,29021,29200,28970,0.09K,-0.54%,100.99999999996822,268.70659302726926
2017-12-05,28893,29095,29170,28865,0.05K,-0.57%,440.9999999999682,103.29586003810982
2017-12-06,28972,28950,29039,28922,6.38K,0.27%,66.99999999996822,139.20226816955983
2017-12-07,28670,28932,28932,28653,7.38K,-1.04%,591.9999999999682,17.165532404982518
2017-12-08,28588,28650,28650,28500,8.42K,-0.29%,475.9999999999682,88.46315789473738
2017-12-11,28429,28550,28573,28412,5.92K,-0.56%,286.9999999999682,40.09633253554785
2017-12-12,28318,28432,28475,28271,7.58K,-0.39%,372.9999999999682,90.33914612146692
2017-12-13,28377,28350,28445,28320,4.66K,0.21%,78.99999999996822,152.25158898305017
2017-12-14,28500,28434,28589,28421,6.63K,0.43%,28.999999999968225,234.46697864255475
2017-12-15,28441,28474,28559,28395,5.54K,-0.21%,164.99999999996822,131.26568057756594
2017-12-18,28663,28492,28683,28470,6.17K,0.78%,238.99999999996822,385.4439409905172
2017-12-19,28555,28656,28680,28535,5.95K,-0.38%,257.9999999999682,44.10162957771171
2017-12-20,28617,28618,28658,28557,6.07K,0.22%,201.99999999996822,100.21220716461904
2017-12-21,28596,28645,28665,28542,5.63K,-0.07%,293.9999999999682,74.23270969098303
2017-12-22,28757,28560,28790,28560,6.08K,0.56%,163.99999999996822,428.58648459383767
2017-12-26,28924,28796,28933,28778,4.33K,0.58%,190.99999999996822,283.7863645840589
2017-12-27,29092,28890,29110,28888,5.16K,0.58%,191.99999999996822,425.5677097756852
2017-12-28,29171,29150,29220,29099,5.06K,0.27%,175.99999999996822,142.2993917316744
2017-12-29,29372,29202,29400,29134,6.93K,0.69%,413.9999999999682,438.1729937530035
2018-01-01,29324,29332,29385,29275,1.58K,-0.16%,158.99999999996822,102.18411614005163
2018-01-02,29392,29332,29463,29332,1.70K,0.23%,-11.000000000031775,191.26796672576165
2018-01-03,29481,29385,29492,29385,0.19K,0.30%,84.99999999996822,203.34956610515653
2018-01-04,29472,29365,29475,29276,0.20K,-0.03%,459.9999999999682,307.3322858313986
2018-01-05,29465,29500,29550,29440,0.19K,-0.02%,119.99999999996822,75.0934103260879
2018-01-08,29270,29235,29290,29176,5.90K,-0.66%,250.99999999996822,149.36728818206757
2018-01-09,29173,29265,29278,29153,5.42K,-0.33%,250.99999999996822,33.08575446780742
2018-01-10,29343,29155,29444,29123,10.83K,0.58%,214.99999999996822,511.4248875459271
2018-01-11,29404,29338,29420,29315,5.81K,0.21%,141.99999999996822,171.31877878219166
2018-01-12,29553,29425,29590,29425,9.23K,0.51%,90.99999999996822,293.7177570093445
2018-01-15,29763,29590,29785,29590,6.00K,0.71%,150.99999999996822,369.14008110848226
2018-01-16,29830,29780,29860,29754,8.69K,0.23%,123.99999999996822,156.27075351213352
2018-01-17,29761,29876,29884,29705,6.83K,-0.23%,445.9999999999682,64.33745160747276
2018-01-18,29644,29702,29702,29501,9.53K,-0.39%,687.9999999999682,143.9743059557295
2018-01-19,29743,29615,29775,29600,5.95K,0.33%,155.99999999996822,303.84543918919013
2018-01-22,29806,29701,29825,29701,5.52K,0.21%,85.99999999996822,229.43836907848163
2018-01-23,29876,29836,29924,29752,7.02K,0.23%,327.9999999999682,212.71685937079747
2018-01-24,30244,29907,30290,29879,11.08K,1.23%,402.9999999999682,753.0207503597849
2018-01-25,30367,30310,30476,30185,9.88K,0.41%,447.9999999999537,349.7545800894477
2018-01-29,30074,30285,30285,30004,8.63K,-0.96%,701.9999999999682,70.65557925609754
2018-01-30,30052,30000,30197,29960,6.81K,-0.07%,66.99999999996822,289.7277703604814
2018-01-31,30064,30085,30172,29976,5.48K,0.04%,306.9999999999682,175.57539364825058
2018-02-01,30512,30125,30550,30050,1.81K,1.49%,648.9999999999536,894.6871880199651
2018-02-02,30399,30780,30817,30200,0.66K,-0.37%,1520.9999999999536,240.06566225165443
2018-02-05,30286,30385,30498,30008,0.19K,-0.37%,1196.9999999999682,395.53945614502663
2018-02-06,30182,30320,30650,30160,12.07K,-0.34%,33.99999999995367,352.35742705570374
2018-02-07,29976,30219,30259,29950,8.73K,-0.68%,549.9999999999682,66.2682470784639
2018-02-08,30103,29905,30147,29783,11.10K,0.42%,641.9999999999682,565.910955914449
2018-02-09,29999,30060,30110,29889,9.20K,-0.35%,511.9999999999682,160.8133427013272
2018-02-12,30133,30102,30175,30017,6.40K,0.45%,328.9999999999682,189.6105873338456
2018-02-13,30195,30170,30221,30091,3.53K,0.21%,314.9999999999537,155.44930377853962
2018-02-14,30605,30220,30693,30066,12.87K,1.36%,912.9999999999536,1023.2403711833977
2018-02-15,30549,30612,30644,30501,7.63K,-0.18%,285.9999999999537,80.22504180190663
2018-02-16,30785,30600,30811,30600,8.67K,0.77%,158.99999999995367,397.2756535947701
2018-02-19,30715,30717,30777,30678,4.03K,-0.23%,91.99999999995367,97.11940152552415
2018-02-20,30524,30668,30737,30505,9.25K,-0.62%,294.9999999999537,88.1445009014933
2018-02-21,30459,30500,30516,30371,7.08K,-0.21%,417.9999999999537,104.42013763129215
2018-02-22,30564,30450,30580,30380,6.53K,0.34%,377.9999999999537,315.21132323897467
2018-02-23,30492,30497,30508,30426,5.14K,-0.24%,262.9999999999537,77.17787418654916
2018-02-26,30518,30520,30620,30492,5.84K,0.09%,7.999999999953673,126.10914338186922
2018-02-27,30306,30518,30597,30270,7.86K,-0.69%,488.9999999999537,115.38889990089228
2018-02-28,30423,30319,30475,30277,5.12K,0.39%,219.99999999995367,302.95478415959224
2018-03-01,30181,30307,30372,30111,1.47K,-0.80%,466.9999999999537,135.60675500647628
2018-03-02,30473,30445,30575,30400,0.15K,0.97%,105.99999999995367,203.42023026315655
2018-03-05,30429,30400,30535,30310,0.18K,-0.14%,282.9999999999537,254.88337182447867
2018-03-06,30568,30400,30669,30365,10.81K,0.46%,206.99999999995367,474.03233986497435
2018-03-07,30461,30620,30639,30404,10.10K,-0.35%,526.9999999999536,76.44056703065506
2018-03-08,30436,30491,30533,30390,7.75K,-0.08%,251.99999999995367,88.21645278052166
2018-03-09,30408,30413,30474,30290,10.96K,-0.09%,420.9999999999537,179.7168042258163
2018-03-12,30340,30380,30432,30284,7.37K,-0.22%,251.99999999995367,108.27367586844412
2018-03-13,30387,30350,30409,30222,10.98K,0.15%,526.9999999999536,225.02094500694875
2018-03-14,30413,30399,30545,30364,9.56K,0.09%,21.999999999953673,195.29208931629543
2018-03-15,30314,30456,30474,30288,8.33K,-0.33%,369.9999999999537,44.15966719493008
2018-03-16,30251,30275,30364,30184,10.02K,-0.21%,226.99999999995367,156.39954943016346
2018-03-19,30432,30222,30453,30129,11.62K,0.60%,560.9999999999536,537.2583889276102
2018-03-20,30284,30393,30393,30220,9.13K,-0.49%,473.9999999999537,64.36637988087386
2018-03-21,30464,30310,30539,30284,11.32K,0.59%,182.99999999995367,410.5156518293479
2018-03-22,30506,30522,30615,30472,11.33K,0.14%,74.99999999995367,127.15955631399264
2018-03-23,30901,30550,30947,30550,13.64K,1.29%,304.9999999999537,752.561276595745
2018-03-26,30889,30840,30915,30771,7.33K,-0.04%,298.9999999999537,193.55220824802743
2018-03-27,30717,30871,30888,30685,9.46K,-0.56%,418.9999999999537,49.211699527455494
2018-03-28,30518,30732,30750,30490,8.56K,-0.65%,521.9999999999536,46.23876680879039
2018-03-29,30426,30482,30578,30403,3.20K,-0.30%,107.99999999995367,119.1323882511606
2018-04-02,30961,30580,31080,30510,1.38K,1.76%,541.9999999999536,959.4257620452299
2018-04-03,30625,30893,30893,30552,0.33K,-1.09%,827.9999999999536,73.81477481015827
2018-04-04,30886,30660,30972,30600,0.07K,0.85%,379.9999999999537,601.4768627450976
2018-04-05,30505,31500,31500,30450,0.06K,-1.23%,2209.9999999999536,56.89655172413768
2018-04-06,30605,30571,30650,30413,13.42K,0.33%,620.9999999999536,272.49620228192003
2018-04-09,30675,30600,30693,30556,7.60K,0.23%,232.99999999995367,212.53354496661998
2018-04-10,30798,30613,30819,30585,8.76K,0.40%,275.9999999999537,420.62962236390365
2018-04-11,31244,30820,31422,30820,18.12K,1.45%,245.99999999995367,1034.2818948734605
2018-04-12,30897,31176,31217,30857,13.21K,-1.11%,676.9999999999536,81.46666882717182
2018-04-13,31005,30922,31075,30770,9.89K,0.35%,620.9999999999536,390.3293792655168
2018-04-16,31167,31055,31227,31050,8.09K,0.52%,71.99999999995367,289.66695652173803
2018-04-17,31257,31139,31280,31089,9.19K,0.29%,294.9999999999537,310.03213355206026
2018-04-18,31410,31243,31483,31177,9.90K,0.49%,357.9999999999537,475.2868781473517
2018-04-19,31479,31449,31517,31305,8.78K,0.22%,567.9999999999536,243.17834211787343
2018-04-20,31314,31405,31440,31285,6.02K,-0.52%,262.9999999999537,64.14367907943233
2018-04-23,31164,31300,31300,31110,6.67K,-0.48%,487.9999999999537,54.32979749276637
2018-04-24,31262,31160,31280,31068,6.35K,0.31%,451.9999999999537,315.32380584524435
2018-04-25,31301,31298,31324,31215,6.17K,0.12%,311.9999999999537,112.30030434086076
2018-04-26,31158,31251,31276,31112,6.27K,-0.46%,344.9999999999537,71.24247878632012
2018-04-27,31129,31101,31189,31047,6.10K,-0.09%,183.99999999995367,170.37504428769168
2018-04-30,30947,31090,31090,30892,6.38K,-0.58%,505.9999999999537,55.35251845137826
2018-05-01,30874,30855,30917,30735,0.86K,-0.24%,455.9999999999537,201.8231006995265
2018-05-02,30926,31020,31350,30860,0.50K,0.17%,121.99999999995367,397.0479585223584
2018-05-03,31003,30925,31146,30861,0.21K,0.25%,190.99999999995367,364.31136385729405
2018-05-04,31068,30907,31154,30907,0.13K,0.21%,74.99999999995367,409.2866664509674
2018-05-07,31247,31125,31300,31125,6.16K,0.58%,68.99999999995367,297.68594377510084
2018-05-08,31200,31220,31238,31075,8.69K,-0.15%,521.9999999999536,143.655671761866
2018-05-09,31303,31219,31364,31156,9.93K,0.33%,274.9999999999537,292.98138400308017
2018-05-10,31352,31338,31470,31231,10.73K,0.16%,323.9999999999537,253.92597099036357
2018-05-11,31500,31340,31545,31340,8.84K,0.47%,114.99999999995367,366.0465858328025
2018-05-14,31496,31450,31544,31380,7.90K,-0.01%,277.9999999999537,210.6062460165704
2018-05-15,31186,31425,31499,31172,14.51K,-0.98%,459.9999999999537,88.14686256897039
2018-05-16,31007,31171,31171,30941,10.73K,-0.57%,591.9999999999536,66.49061116318262
2018-05-17,30986,31001,31001,30852,8.54K,-0.07%,565.9999999999536,134.6471541553219
2018-05-18,31093,30971,31115,30950,7.38K,0.35%,183.99999999995367,287.7623586429727
2018-05-21,31114,31035,31139,30925,8.03K,0.07%,493.9999999999537,294.30787388843964
2018-05-22,31111,31025,31173,31005,7.33K,-0.01%,103.99999999995367,254.57435897435792
2018-05-23,31186,31121,31369,31103,11.98K,0.24%,-46.00000000004633,331.7098350641427
2018-05-24,31461,31241,31486,31235,11.06K,0.88%,218.99999999995367,472.8161037297905
2018-05-25,31194,31370,31427,31172,10.05K,-0.85%,382.9999999999537,79.17996920313091
2018-05-28,30971,31150,31150,30885,6.81K,-0.71%,701.9999999999536,86.73789865630533
2018-05-29,31184,31020,31320,31020,12.38K,0.69%,27.999999999953673,465.5860735009665
2018-05-30,31030,31120,31123,30937,9.14K,-0.49%,548.9999999999536,96.55913630927536
2018-05-31,30882,31050,31120,30837,6.07K,-0.48%,445.9999999999537,115.41297791614124
2018-06-01,30568,30796,30839,30458,2.07K,-1.02%,852.9999999999536,154.37599317092463
2018-06-04,30708,30650,30812,30580,0.34K,0.46%,233.99999999995367,290.9710922171362
2018-06-05,30699,30673,30935,30656,0.08K,-0.03%,-142.00000000004633,305.3913426409199
2018-06-06,30755,30876,30913,30720,6.33K,0.18%,344.9999999999537,72.21988932291787
2018-06-07,31055,30820,31075,30789,8.21K,0.98%,338.9999999999537,523.4708824580193
2018-06-08,31076,31011,31196,30950,8.18K,0.07%,188.99999999995367,312.00148626817463
2018-06-11,31035,31070,31083,30920,7.52K,-0.13%,516.9999999999536,128.6062419146183
2018-06-12,30952,31001,31001,30873,6.95K,-0.27%,413.9999999999537,79.32753538690667
2018-06-13,30952,30936,30994,30920,3.91K,0.00%,37.99999999995367,90.07658473480114
2018-06-14,31145,30973,31178,30973,8.59K,0.62%,138.99999999995367,378.13841087398765
2018-06-15,30804,31180,31195,30755,11.17K,-1.09%,932.9999999999536,64.70102422370474
2018-06-18,30773,30799,30836,30721,4.81K,-0.10%,222.99999999995367,89.19465512190433
2018-06-19,30702,30848,30899,30673,7.27K,-0.23%,356.9999999999537,80.21367326312975
2018-06-20,30605,30680,30702,30580,4.93K,-0.32%,227.99999999995367,47.099738391105355
2018-06-21,30451,30575,30575,30367,6.94K,-0.50%,583.9999999999536,84.57536141205857
2018-06-22,30498,30410,30554,30387,6.81K,0.15%,123.99999999995367,255.61003060519212
2018-06-25,30540,30500,30648,30500,4.98K,0.14%,-68.00000000004633,188.1940983606546
2018-06-26,30480,30512,30574,30335,6.41K,-0.20%,581.9999999999536,208.14240975770736
2018-06-27,30606,30466,30631,30435,6.00K,0.41%,238.99999999995367,337.10123213405683
2018-06-28,30431,30588,30604,30408,4.32K,-0.57%,389.9999999999537,39.148250460406416
2018-06-29,30363,30404,30449,30288,5.61K,-0.22%,336.9999999999537,120.39867274168137
2018-07-02,30153,30380,30412,30000,2.26K,-0.69%,1033.9999999999682,187.10120000000092
2018-07-03,30469,30185,30600,30100,0.19K,1.05%,492.9999999999537,790.1295681063132
2018-07-04,30510,30463,30550,30463,0.04K,0.13%,6.999999999953673,134.13422840823114
2018-07-05,30541,30600,30640,30495,0.02K,0.10%,261.9999999999537,86.21872438104765
