Date,Unnamed: 0,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2017-05-19,32,DHFL,EQ,2017-05-19,417.95,423.0,426.45,398.65,405.9,404.2,411.93,2693962,1109715622.8,33554,884888,32.85,2017,5,-3.29,Among top losers,-0.044444444444444474,0.06973535682929892,-1.282,1.80276731720985,-1
2017-05-22,39,DHFL,EQ,2017-05-22,404.2,408.0,412.15,400.25,403.9,404.0,405.76,1636114,663874862.95,21505,445687,27.24,2017,5,-0.05,Slight,-0.00980392156862745,0.029731417863835045,-1.292,1.7939955406856505,-1
2017-05-23,46,DHFL,EQ,2017-05-23,404.0,405.95,411.8,387.2,400.5,402.0,400.48,2322519,930124260.75,30348,489515,21.08,2017,5,-0.5,Slight,-0.009730262347579724,0.06353305785123974,-1.0699999999999998,1.8133808204566406,-1
2017-05-24,54,DHFL,EQ,2017-05-24,402.0,404.8,407.9,392.5,397.5,395.55,399.79,1984614,793435506.3,31616,533717,26.89,2017,5,-1.6,Negative,-0.022850790513833992,0.03923566878980886,-1.6039999999999999,1.3628022600509582,1
2017-05-25,63,DHFL,EQ,2017-05-25,395.55,397.45,407.6,397.3,404.95,405.5,403.71,3393790,1370107530.85,56100,1958807,57.72,2017,5,2.52,Positive,0.02025412001509627,0.025924993707525826,-0.584,2.1378564030355265,1
2017-05-26,73,DHFL,EQ,2017-05-26,405.5,411.9,415.45,408.7,411.0,410.65,411.89,2555251,1052480440.75,35435,760344,29.76,2017,5,1.27,Positive,-0.0030347171643602816,0.016515781747002693,0.328,1.5998343664267245,1
2017-05-29,80,DHFL,EQ,2017-05-29,410.65,412.0,419.7,409.95,411.2,410.95,414.27,1944213,805426135.55,37384,578026,29.73,2017,5,0.07,Slight,-0.0025485436893204158,0.023783388218075376,0.35200000000000004,1.5936342114801623,1
2017-05-30,87,DHFL,EQ,2017-05-30,410.95,411.2,414.0,408.0,412.8,412.15,411.35,1364490,561285704.5,29192,535078,39.21,2017,5,0.29,Slight,0.002310311284046665,0.014705882352941176,0.51,1.5257621046545882,1
2017-05-31,94,DHFL,EQ,2017-05-31,412.15,414.45,421.45,412.55,418.0,416.65,417.86,2502720,1045783694.95,55464,969147,38.72,2017,5,1.09,Positive,0.005308239835927105,0.02157314264937578,1.048,0.968101234375826,1
2017-06-01,100,DHFL,EQ,2017-06-01,416.65,417.7,419.8,414.0,416.5,416.9,416.54,1364330,568303436.6,40287,516303,37.84,2017,6,0.06,Slight,-0.0019152501795547316,0.01400966183574882,0.5559999999999999,0.5804997846683475,-1
