,Unnamed: 0,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower,Call
13,13,TITAN,EQ,2017-06-01,474.9,475.95,476.45,465.3,468.6,470.7,469.95,715073,336049705.25,34175,330045,46.16,2017,6,-0.88,Slight negative,474.91785714285703,6.7886955567794764,488.495248256416,461.34046602929806,Hold Short / Liquidate Buy
14,14,TITAN,EQ,2017-06-02,470.7,472.7,474.6,467.0,469.9,471.75,471.04,596655,281050764.0,13922,292897,49.09,2017,6,0.22,Slight,474.06785714285706,6.341517870439143,486.75089288373533,461.3848214019788,Hold Short / Liquidate Buy
15,15,TITAN,EQ,2017-06-05,471.75,511.0,569.2,505.0,551.5,551.85,543.12,27100101,14718607571.35,321166,4407918,16.27,2017,6,16.98,Bull run,478.6071428571428,21.629448027585493,521.8660389123138,435.3482468019718,Hold Buy / Liquidate Short
16,16,TITAN,EQ,2017-06-06,551.85,547.0,547.1,521.4,528.75,527.15,531.44,9844354,5231674371.65,149354,2501129,25.41,2017,6,-4.48,Among top losers,481.8499999999999,25.239064654130605,532.3281293082612,431.3718706917387,Hold Buy / Liquidate Short
17,17,TITAN,EQ,2017-06-07,527.15,528.0,547.0,528.0,536.0,536.2,538.09,4874204,2622770856.2,72214,1048839,21.52,2017,6,1.72,Positive,486.46071428571423,28.867596810340764,544.1959079063957,428.7255206650327,Hold Buy / Liquidate Short
18,18,TITAN,EQ,2017-06-08,536.2,535.0,536.2,524.1,527.5,529.1,529.28,1883423,996848801.75,51493,663147,35.21,2017,6,-1.32,Negative,490.59999999999997,30.60569956975085,551.8113991395016,429.3886008604983,Hold Buy / Liquidate Short
19,19,TITAN,EQ,2017-06-09,529.1,529.95,529.95,521.95,524.8,525.45,525.59,1164090,611830316.55,21981,420604,36.13,2017,6,-0.69,Slight negative,493.74642857142857,31.827053467413286,557.4005355062551,430.092321636602,Hold Buy / Liquidate Short
20,20,TITAN,EQ,2017-06-12,525.45,541.9,541.9,513.3,515.2,515.8,527.18,4546833,2397000145.9,61951,1227852,27.0,2017,6,-1.84,Negative,496.4214285714285,32.006764394936404,560.4349573613014,432.4078997815557,Hold Buy / Liquidate Short
21,21,TITAN,EQ,2017-06-13,515.8,516.1,524.8,511.4,520.25,520.55,518.77,2382953,1236194268.8,54961,722889,30.34,2017,6,0.92,Slight positive,500.0892857142857,31.58683500454576,563.2629557233772,436.9156157051942,Hold Buy / Liquidate Short
22,22,TITAN,EQ,2017-06-14,520.55,520.5,524.1,514.0,522.7,521.9,518.47,1167358,605238662.0,27525,446055,38.21,2017,6,0.26,Slight,504.23214285714283,30.2505219735186,564.73318680418,443.73109891010563,Hold Short / Liquidate Buy
23,23,TITAN,EQ,2017-06-15,521.9,520.0,524.0,516.2,516.25,517.65,519.75,855133,444455116.5,19675,209397,24.49,2017,6,-0.81,Slight negative,507.3892857142857,29.07440837794425,565.5381024701742,449.2404689583972,Hold Short / Liquidate Buy
24,24,TITAN,EQ,2017-06-16,517.65,516.0,520.8,511.8,512.0,516.4,517.36,667200,345183479.65,20108,257861,38.65,2017,6,-0.24,Slight,510.65714285714284,27.133699293731393,564.9245414446057,456.3897442696801,Hold Short / Liquidate Buy
25,25,TITAN,EQ,2017-06-19,516.4,515.25,518.0,511.2,512.55,515.2,515.53,782349,403325240.75,29738,458894,58.66,2017,6,-0.23,Slight,513.9,24.455917956129248,562.8118359122585,464.9881640877415,Hold Short / Liquidate Buy
26,26,TITAN,EQ,2017-06-20,515.2,514.0,530.85,512.05,527.0,526.7,526.09,2299154,1209551729.1,45467,600135,26.1,2017,6,2.23,Positive,517.6,21.884970255335602,561.3699405106712,473.83005948932885,Hold Short / Liquidate Buy
27,27,TITAN,EQ,2017-06-21,526.7,526.4,529.85,518.65,520.85,523.1,524.03,1357751,711501406.85,33893,282975,20.84,2017,6,-0.68,Slight negative,521.3428571428572,17.233440849594817,555.8097388420468,486.8759754436675,Hold Short / Liquidate Buy
28,28,TITAN,EQ,2017-06-22,523.1,523.0,528.8,516.45,517.8,519.9,524.03,1005512,526917783.8,29685,403137,40.09,2017,6,-0.61,Slight negative,524.7821428571428,9.758302326004936,544.2987475091527,505.265538205133,Hold Short / Liquidate Buy
29,29,TITAN,EQ,2017-06-23,519.9,520.85,521.0,507.65,510.85,513.3,513.76,1392507,715417261.2,28416,633028,45.46,2017,6,-1.27,Negative,522.0285714285714,6.390729893480734,534.8100312155328,509.2471116416099,Hold Short / Liquidate Buy
30,30,TITAN,EQ,2017-06-27,513.3,510.1,520.2,506.5,518.15,516.0,513.86,1386743,712587932.35,44302,517541,37.32,2017,6,0.53,Slight positive,521.2321428571429,6.398154996765641,534.0284528506742,508.4358328636116,Hold Short / Liquidate Buy
31,31,TITAN,EQ,2017-06-28,516.0,516.4,516.6,500.6,507.0,507.3,506.55,1545428,782829574.55,28373,348954,22.58,2017,6,-1.69,Negative,519.1678571428572,5.834796389000942,530.8374499208591,507.49826436485534,Hold Short / Liquidate Buy
32,32,TITAN,EQ,2017-06-29,507.3,510.0,518.6,507.7,511.0,509.6,511.18,1911111,976912230.2,18934,942579,49.32,2017,6,0.45,Slight,517.775,5.604385302188305,528.9837706043766,506.5662293956234,Hold Short / Liquidate Buy
33,33,TITAN,EQ,2017-06-30,509.6,508.95,525.6,503.25,525.0,524.45,517.83,1156474,598851962.0,23035,358196,30.97,2017,6,2.91,Positive,517.7035714285714,5.5045248619698,528.712621152511,506.6945217046318,Hold Short / Liquidate Buy
34,34,TITAN,EQ,2017-07-03,524.45,536.05,537.0,527.5,531.05,532.4,532.58,1304851,694941405.6,28170,297419,22.79,2017,7,1.52,Positive,518.8892857142857,6.717233249446672,532.3237522131791,505.4548192153924,Hold Short / Liquidate Buy
35,35,TITAN,EQ,2017-07-04,532.4,533.5,539.0,526.0,534.25,535.55,533.7,1624088,866781654.95,20096,464498,28.6,2017,7,0.59,Slight positive,519.9607142857143,8.063812292043858,536.088338869802,503.8330897016266,Hold Short / Liquidate Buy
36,36,TITAN,EQ,2017-07-05,535.55,539.25,540.0,530.2,531.65,531.8,533.68,894627,477445039.25,16408,310931,34.76,2017,7,-0.7,Slight negative,520.6678571428572,8.659068326656916,537.985993796171,503.34972048954336,Hold Short / Liquidate Buy
37,37,TITAN,EQ,2017-07-06,531.8,532.0,536.5,528.1,534.0,533.95,533.03,1428440,761399992.95,19737,492816,34.5,2017,7,0.4,Slight,521.8321428571429,9.294593282425703,540.4213294219943,503.2429562922915,Hold Short / Liquidate Buy
38,38,TITAN,EQ,2017-07-07,533.95,533.95,538.9,529.0,534.0,532.5,534.4,1724825,921741207.85,28852,1112783,64.52,2017,7,-0.27,Slight,522.9821428571429,9.562921325918818,542.1079855089805,503.8563002053053,Hold Short / Liquidate Buy
39,39,TITAN,EQ,2017-07-10,532.5,540.05,540.05,523.2,536.5,536.75,535.58,511607,274008433.55,4805,417465,81.6,2017,7,0.8,Slight positive,524.5214285714286,9.94083873349092,544.4031060384104,504.63975110444676,Hold Short / Liquidate Buy
40,40,TITAN,EQ,2017-07-11,536.75,537.0,537.9,526.3,528.05,528.7,529.95,960330,508925744.8,25722,543901,56.64,2017,7,-1.5,Negative,524.6642857142858,9.988809672894831,544.6419050600755,504.68666636849616,Hold Short / Liquidate Buy
41,41,TITAN,EQ,2017-07-12,528.7,532.0,534.85,528.25,530.55,530.8,531.9,855127,454844701.0,39788,523185,61.18,2017,7,0.4,Slight,525.2142857142858,10.107336036673578,545.428957787633,504.9996136409386,Hold Short / Liquidate Buy
42,42,TITAN,EQ,2017-07-13,530.8,525.4,537.0,525.0,534.0,534.15,532.89,1059461,564581306.15,37377,492743,46.51,2017,7,0.63,Slight positive,526.2321428571429,10.247543929810957,546.7272307167648,505.737054997521,Hold Short / Liquidate Buy
43,43,TITAN,EQ,2017-07-14,534.15,538.0,541.9,532.1,532.6,533.65,536.18,1131348,606601086.9,34676,593340,52.45,2017,7,-0.09,Slight,527.6857142857143,9.700761837081616,547.0872379598776,508.2841906115511,Hold Short / Liquidate Buy
44,44,TITAN,EQ,2017-07-17,533.65,535.5,538.75,531.25,531.5,533.75,535.76,1312136,702994959.8,46644,735018,56.02,2017,7,0.02,Slight,528.9535714285714,9.203165514892397,547.3599024583563,510.54724039878664,Hold Short / Liquidate Buy
45,45,TITAN,EQ,2017-07-18,533.75,530.0,536.8,526.7,528.0,527.75,532.05,1387108,738008524.9,35138,1018608,73.43,2017,7,-1.12,Negative,530.4142857142857,6.815012516818667,544.0443107479231,516.7842606806483,Hold Short / Liquidate Buy
46,46,TITAN,EQ,2017-07-19,527.75,528.8,535.15,527.5,532.15,533.05,530.88,841355,446661976.95,24275,570288,67.78,2017,7,1.0,Slight positive,532.0892857142857,3.2606145345405553,538.6105147833667,525.5680566452046,Hold Short / Liquidate Buy
47,47,TITAN,EQ,2017-07-20,533.05,531.0,535.65,528.4,529.5,529.8,531.9,590904,314301066.2,13458,291712,49.37,2017,7,-0.61,Slight negative,532.4714285714286,2.527518872007062,537.5264663154428,527.4163908274145,Hold Short / Liquidate Buy
