Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
HDFCBANK,IL,2017-05-15,1567,1583,1583,1583,-,1583,1583,342000,541386000,6,342000,100,2017,5,0,Slight
HDFCBANK,IL,2017-05-17,1583,1600,1600,1600,-,1600,1600,50000,80000000,1,50000,100,2017,5,0.01,Slight
HDFCBANK,IL,2017-05-18,1600,1596,1597.50,1596,-,1597,1596.99,680000,1085951250,15,680000,100,2017,5,-0.00,Slight
HDFCBANK,IL,2017-05-19,1597,1580,1580,1580,-,1580,1580,865000,1366700000,18,865000,100,2017,5,-0.01,Slight
HDFCBANK,IL,2017-05-23,1580,1590.25,1590.25,1585,-,1585,1585,300000,475500210,28,173000,57.67,2017,5,0.00,Slight
HDFCBANK,IL,2017-05-25,1585,1570,1570,1570,-,1570,1570,48,75360,1,48,100,2017,5,-0.01,Slight
HDFCBANK,IL,2017-05-26,1570,1628.05,1628.05,1628.05,-,1628.05,1628.05,250000,407012500,10,250000,100,2017,5,0.04,Slight
HDFCBANK,IL,2017-05-29,1628.05,1646,1646,1646,-,1646,1646,451322,742876012,18,451322,100,2017,5,0.01,Slight
HDFCBANK,IL,2017-06-01,1646,1645.25,1645.25,1645.25,-,1645.25,1645.25,16000,26324000,1,16000,100,2017,6,-0.00,Slight
HDFCBANK,IL,2017-06-02,1645.25,1642.10,1645,1642.05,-,1642.05,1642.66,126000,206975250,8,57500,45.63,2017,6,-0.00,Slight
HDFCBANK,IL,2017-06-05,1642.05,1642,1658,1642,-,1658,1651.43,169666,280191572,4,100000,58.94,2017,6,0.01,Slight
HDFCBANK,IL,2017-06-12,1658,1665,1665,1665,-,1665,1665,99481,165635865,2,99481,100,2017,6,0.00,Slight
HDFCBANK,IL,2017-06-15,1665,1671.25,1671.25,1665,-,1670,1669.94,1170300,1954329690,42,1170300,100,2017,6,0.00,Slight
HDFCBANK,IL,2017-06-16,1670,1664.95,1665.90,1664.95,-,1665.90,1665.14,600,999086.90,35,600,100,2017,6,-0.00,Slight
