Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
DHFL,N6,2017-05-15,1007.25,1009.90,1009.90,1009.90,1009.90,1009.90,1009.90,50,50495,1,50,100,2017,5,0,Slight
DHFL,N8,2017-05-15,1055,1055.20,1055.20,1055.20,1055.20,1055.20,1055.20,48,50649.60,2,48,100,2017,5,0.04,Slight
DHFL,NA,2017-05-15,1070,1070,1070,1070,1070,1070,1070,1,1070,1,1,100,2017,5,0.01,Slight
DHFL,NB,2017-05-15,1040,1050,1050,1050,1050,1050,1050,6,6300,1,6,100,2017,5,-0.02,Slight
DHFL,NC,2017-05-15,1071,1070,1072.50,1070,1072,1072.28,1071.94,1488,1595041.80,15,1488,100,2017,5,0.02,Slight
DHFL,NH,2017-05-15,1150,1149,1149,1149,1149,1149,1149,34,39066,1,34,100,2017,5,0.07,Slight
DHFL,NL,2017-05-15,1044.30,1050,1058,1040.50,1040.60,1040.60,1040.76,185,192540.25,5,185,100,2017,5,-0.09,Slight
DHFL,NN,2017-05-15,1050,1050,1050,1043,1043,1043,1043.83,100,104383.25,5,100,100,2017,5,0.00,Slight
DHFL,NP,2017-05-15,1061.21,1061.50,1062.50,1061.50,1062,1062.15,1062.11,1620,1720626.02,21,1620,100,2017,5,0.02,Slight
DHFL,N2,2017-05-16,1008,1001.30,1001.30,1000,1000,1000,1001.20,27,27032.50,2,27,100,2017,5,-0.06,Slight
DHFL,N6,2017-05-16,1009.90,1009,1015,1009,1010,1012.31,1012.09,302,305651.40,15,262,86.75,2017,5,0.01,Slight
DHFL,N8,2017-05-16,1055.20,1060,1060,1060,1060,1060,1060,34,36040,3,34,100,2017,5,0.05,Slight
DHFL,NC,2017-05-16,1072.28,1071.70,1073,1070,1070,1071.42,1071.59,669,716896.70,13,655,97.91,2017,5,0.01,Slight
DHFL,NH,2017-05-16,1149,1150,1175,1150,1175,1175,1166.67,150,175000,5,150,100,2017,5,0.10,Slight
DHFL,NL,2017-05-16,1040.60,1041.20,1045.25,1041.20,1043.70,1043.61,1043.66,928,968512,39,928,100,2017,5,-0.11,Slight
DHFL,NP,2017-05-16,1062.15,1063.10,1063.39,1060,1061,1061.03,1061.79,3621,3844734.58,46,3307,91.33,2017,5,0.02,Slight
DHFL,N2,2017-05-17,1000,996.80,996.80,996.70,996.70,996.70,996.76,34,33889.80,2,34,100,2017,5,-0.06,Slight
DHFL,N6,2017-05-17,1012.31,1007.02,1014,1007.02,1012.10,1012.10,1009.37,85,85796.60,9,80,94.12,2017,5,0.02,Slight
DHFL,N8,2017-05-17,1060,1055,1057.02,1055,1057.02,1057.02,1056.35,102,107747.36,2,102,100,2017,5,0.04,Slight
DHFL,NC,2017-05-17,1071.42,1072,1072,1069,1069,1069.66,1071.30,765,819545,7,765,100,2017,5,0.01,Slight
DHFL,NH,2017-05-17,1175,1175,1175,1175,1175,1175,1175,338,397150,4,338,100,2017,5,0.10,Slight
DHFL,NL,2017-05-17,1043.61,1048,1048,1043.56,1044.50,1044.18,1044.09,730,762184.40,8,530,72.60,2017,5,-0.11,Slight
DHFL,NN,2017-05-17,1043,1043,1043,1042.50,1042.50,1042.50,1042.91,151,157480,7,151,100,2017,5,-0.00,Slight
DHFL,NP,2017-05-17,1061.03,1062.50,1062.50,1050,1057.07,1057.07,1060.89,2985,3166762.62,37,2985,100,2017,5,0.01,Slight
DHFL,N6,2017-05-18,1012.10,1010,1015,1004.01,1015,1015,1012.32,1901,1924422.45,29,1626,85.53,2017,5,-0.04,Slight
DHFL,NC,2017-05-18,1069.66,1070.10,1070.10,1070,1070.10,1070.10,1070.01,217,232191.70,5,217,100,2017,5,0.05,Slight
DHFL,NE,2017-05-18,1055.15,1062,1062,1062,1062,1062,1062,10,10620,1,10,100,2017,5,-0.01,Slight
DHFL,NP,2017-05-18,1057.07,1050,1067,1050,1060.52,1060.52,1061.61,3185,3381216.10,19,2345,73.63,2017,5,-0.00,Slight
DHFL,N6,2017-05-19,1015,1016.60,1016.60,1016.60,1016.60,1016.60,1016.60,10,10166,1,10,100,2017,5,-0.04,Slight
DHFL,N8,2017-05-19,1057.02,1060,1060,1060,1060,1060,1060,5,5300,1,5,100,2017,5,0.04,Slight
DHFL,NC,2017-05-19,1070.10,1070,1071.95,1070,1071.95,1071.67,1071.12,213,228148.25,5,213,100,2017,5,0.01,Slight
DHFL,NJ,2017-05-19,1050,1050,1050,1050,1050,1050,1050,68,71400,2,68,100,2017,5,-0.02,Slight
DHFL,NL,2017-05-19,1044.18,1044.50,1050,1044.50,1050,1050,1048.13,142,148834.60,7,142,100,2017,5,0,Slight
DHFL,NP,2017-05-19,1060.52,1063.50,1064.50,1063.40,1063.50,1063.50,1063.86,1381,1469195.10,21,1381,100,2017,5,0.01,Slight
DHFL,N2,2017-05-22,996.70,1003,1003,1000,1003,1003,1001.66,397,397660,8,397,100,2017,5,-0.06,Slight
DHFL,N6,2017-05-22,1016.60,1016.50,1016.50,1016,1016,1016,1016.06,131,133103.50,8,131,100,2017,5,0.01,Slight
DHFL,N8,2017-05-22,1060,1060,1060,1060,1060,1060,1060,10,10600,1,10,100,2017,5,0.04,Slight
DHFL,NC,2017-05-22,1071.67,1070.01,1071.95,1069,1071.95,1071.95,1069.91,1509,1614498.39,15,1309,86.75,2017,5,0.01,Slight
DHFL,NL,2017-05-22,1050,1050,1058.80,1050,1058.79,1056.28,1054.24,538,567180,8,538,100,2017,5,-0.01,Slight
DHFL,NP,2017-05-22,1063.50,1063,1064.20,1061,1064.20,1063.98,1062.98,8502,9037429.05,51,7677,90.30,2017,5,0.01,Slight
DHFL,N6,2017-05-23,1016,1014,1015,1014,1014.99,1014.99,1014.73,622,631160.19,7,622,100,2017,5,-0.05,Slight
DHFL,N8,2017-05-23,1060,1065,1065,1060,1063,1063,1063.26,298,316851,13,298,100,2017,5,0.05,Slight
DHFL,NA,2017-05-23,1070,1065,1065,1065,1065,1065,1065,10,10650,1,10,100,2017,5,0.00,Slight
DHFL,NC,2017-05-23,1071.95,1071,1073.50,1071,1073.50,1073.49,1072.93,918,984952,9,918,100,2017,5,0.01,Slight
DHFL,NL,2017-05-23,1056.28,1046,1046,1045.55,1045.55,1045.55,1045.90,140,146426.50,5,140,100,2017,5,-0.03,Slight
